14U BOYS PLATINUM,19 teams,6 min. qrtrs.,21+21,,,,,,,,,,,,,,,,,,,,
HOT! RESULTS,RESULTS FEED,SUBMIT SCORES LOGIN,,,,,,,,,,,,,,,,,,,,,
A,B,C,D,E,F,,,,,,,,,,,,,,,,,,
1,4,5,2,3,6,,,,,,,,,,,,,,,,,,
12,9,8,11,10,7,,,,,,,,,,,,,,,,,,
13,16,17,14,15,18,,,,,,,,,,,,xx,,,,,,xx
,,,,,19,,,,,,,,,,,,,,,,,,xx
A,B,C,D,E,F,,,,,,,,,,,,,,,,,,
A1-NORCAL BLACK,B1-LA JOLLA UNITED NAVY,C1-NBWP BLUE,D1-CHANNEL ISLANDS UNITED GOLD,E1-MISSION WPC A,F1-VANGUARD BLUE,,,,,,,,,,,,,,,,,,
A2-CDM BLUE,B2-LAMORINDA A,C2-SD SHORES BLACK,D2-DIABLO ALLIANCE RED,E2-STANFORD RED,F2-680 RED,,,,,,,,,,,,,,,,,,
A3-CCU BLACK,B3-ORANGE COUNTY WPC BLUE,C3-SOUTH COAST RED,D3-ORWP,E3-DEL MAR 13 BLUE,F3-NORTH IRVINE BLACK,,,,,,,,,,,,,,,,,,
,,,,,F4-PRIDE,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
G (1st-6th),H (1st-6th),I (7th-12th),J (7th-12th),K (13th-19th),L (13th-19th),,,,,,,,,,,,,,,,,,
G1(1stA)-CCU BLACK,H1(1stD)-CHANNEL ISLANDS UNITED GOLD,I1(2ndA)-NORCAL BLACK,J1(2ndD)-DIABLO ALLIANCE RED,K1(3rdA)-CDM BLUE,L1(3rdD)-ORWP,,,,,,,,,,,,,,,,,,
G2(1stB)-LA JOLLA UNITED NAVY,H2(1stE)-MISSION WPC A,I2(2ndB)-LAMORINDA A,J2(2ndE)-STANFORD RED,K2(3rdB)-ORANGE COUNTY WPC BLUE,L2(3rdE)-DEL MAR 13 BLUE,,,,,,,,,,,,,,,,,,
G3(1stC)-NBWP BLUE,H3(1stF)-VANGUARD BLUE,I3(2ndC)-SD SHORES BLACK,J3(2ndF)-680 RED,K3(3rdC)-SOUTH COAST RED,L3(3rdF)-PRIDE,,,,,,,,,,,,,,,,,,
