DATE,TIME,LOCATION,GAME#,WHITE,S,DARK,S,COMMENTS,DIVISION,SORTKEY
19-Jun,8:00 AM,WOOLLETT FAR RIGHT,12GD101,A1-NEWPORT BEACH A,12,A3-LA PREMIER,7,"A bracket A1,A3",12U_GIRLS_D1,202606190800
19-Jun,8:55 AM,WOOLLETT FAR RIGHT,12GD102,C1-DEL MAR,18,C3-FOOTHILL CLUB,7,"C bracket C1,C3",12U_GIRLS_D1,202606190855
19-Jun,9:50 AM,WOOLLETT FAR RIGHT,12GD103,B1-LAMORINDA A,14,B3-TEMPLE CITY,3,"B bracket B1,B3",12U_GIRLS_D1,202606190950
19-Jun,10:45 AM,WOOLLETT FAR RIGHT,12GD104,D1-680,18,D3-LAMORINDA B,5,"D bracket D1,D3",12U_GIRLS_D1,202606191045
19-Jun,11:40 AM,WOOLLETT FAR RIGHT,12GD105,A2-COMMERCE,8,A3-LA PREMIER,4,"A bracket A2,A3",12U_GIRLS_D1,202606191140
19-Jun,12:35 PM,WOOLLETT FAR RIGHT,12GD106,C2-STANFORD A,12,C3-FOOTHILL CLUB,7,"C bracket C2,C3",12U_GIRLS_D1,202606191235
19-Jun,1:30 PM,WOOLLETT FAR RIGHT,12GD107,B2-BACK BAY,10,B3-TEMPLE CITY,5,"B bracket B2,B3",12U_GIRLS_D1,202606191330
19-Jun,2:25 PM,WOOLLETT FAR RIGHT,12GD108,D2-SAN CLEMENTE,20,D3-LAMORINDA B,5,"D bracket D2,D3",12U_GIRLS_D1,202606191425
19-Jun,3:20 PM,WOOLLETT FAR RIGHT,12GD109,A1-NEWPORT BEACH A,13,A2-COMMERCE,7,"A bracket A1,A2",12U_GIRLS_D1,202606191520
19-Jun,4:15 PM,WOOLLETT FAR RIGHT,12GD110,C1-DEL MAR,12,C2-STANFORD A,1,"C bracket C1,C2",12U_GIRLS_D1,202606191615
19-Jun,5:10 PM,WOOLLETT FAR RIGHT,12GD111,B1-LAMORINDA A,9.2,B2-BACK BAY,9.4,"B bracket B1,B2",12U_GIRLS_D1,202606191710
19-Jun,6:05 PM,WOOLLETT FAR RIGHT,12GD112,D1-680,3,D2-SAN CLEMENTE,11,"D bracket D1,D2",12U_GIRLS_D1,202606191805
20-Jun,8:00 AM,WOOLLETT FAR RIGHT,12GD113,E1(1stA)-NEWPORT BEACH A,16,E4(2ndC)-STANFORD A,2,"1-8 E1,E4",12U_GIRLS_D1,202606200800
20-Jun,8:55 AM,WOOLLETT FAR RIGHT,12GD114,E2(2ndA)-COMMERCE,9,E3(1stC)-DEL MAR,14,"1-8 E2,E3",12U_GIRLS_D1,202606200855
20-Jun,9:50 AM,WOOLLETT FAR RIGHT,12GD115,F1(1stB)-BACK BAY,5,F4(2ndD)-680,9,"1-8 F1,F4",12U_GIRLS_D1,202606200950
20-Jun,10:45 AM,WOOLLETT FAR RIGHT,12GD116,F2(2ndB)-LAMORINDA A,6.4,F3(1stD)-SAN CLEMENTE,6.3,"1-8 F2,F3",12U_GIRLS_D1,202606201045
20-Jun,11:40 AM,WOOLLETT FAR RIGHT,12GD117,G1(3rdA)-LA PREMIER,9,G4(3rdD)-LAMORINDA B,3,"9-12 RR G1,G4",12U_GIRLS_D1,202606201140
20-Jun,12:35 PM,WOOLLETT FAR RIGHT,12GD118,G2(3rdB)-TEMPLE CITY,12,G3(3rdC)-FOOTHILL CLUB,9,"9-12 RR G2,G3",12U_GIRLS_D1,202606201235
