DATE,TIME,LOCATION,GAME ID,WHITE TEAM,S,DARK TEAM,S,COMMENTS,DIVISION,SORTKEY
31-Jan,8:00 AM,EL TORO HS 2,10Cau01,D1-TROJAN,13,D3-YOLO YELLOW,15,"D bracket D1,D3",10U_COED_GOLD,202501310800
31-Jan,8:45 AM,EL TORO HS 2,10Cau02,A1-LA JOLLA UNITED,18,A3-LAMORINDA C,8,"A bracket A1,A3",10U_COED_GOLD,202501310845
31-Jan,9:30 AM,EL TORO HS 2,10Cau03,B1-DAVIS,16,B3-DEL MAR WHITE,5,"B bracket B1,B3",10U_COED_GOLD,202601310930
31-Jan,10:15 AM,EL TORO HS 2,10Cau04,C1-SOUTH COAST RED,6,C3-SAN CLEMENTE BLACK,18,"C bracket C1,C3",10U_COED_GOLD,202601311015
31-Jan,11:00 AM,WOOLLETT FAR LEFT,10Cau05,G1-LAMORINDA BLUE (A) (girls),19,G4-SAN CLEMENTE RED (girls),1,girls 1st-4th,10U_COED_GOLD,202601311100
31-Jan,11:00 AM,EL TORO HS 2,10Cau07,D2-PATRIOT WHITE,5,D3-YOLO YELLOW,16,"D bracket D2,D3",10U_COED_GOLD,202601311100
31-Jan,11:45 AM,WOOLLETT FAR LEFT,10Cau06,G2-DEL MAR BLUE (girls),12,G3-680 RED (girls),5,girls 1st-4th,10U_COED_GOLD,202601311145
31-Jan,11:45 AM,EL TORO HS 2,10Cau08,A2-LOYOLA WPC,17,A3-LAMORINDA C,1,"A bracket A2,A3",10U_COED_GOLD,202601311145
31-Jan,12:30 PM,EL TORO HS 2,10Cau09,B2-ORANGE COUNTY WPC RED,19,B3-DEL MAR WHITE,6,"B bracket B2,B3",10U_COED_GOLD,202601311230
31-Jan,1:15 PM,EL TORO HS 2,10Cau10,C2-SOUTH BAY UNITED,11,C3-SAN CLEMENTE BLACK,8,"C bracket C2,C3",10U_COED_GOLD,202601311315
31-Jan,2:00 PM,BECKMAN HS 2,10Cau13,D1-TROJAN,1,D2-PATRIOT WHITE,2,"D bracket D1,D2",10U_COED_GOLD,202601311400
31-Jan,2:45 PM,BECKMAN HS 2,10Cau14,A1-LA JOLLA UNITED,9,A2-LOYOLA WPC,7,"A bracket A1,A2",10U_COED_GOLD,202601311445
