,,,,,,,,,,,,,,,,,,,,
,,"FRIDAY, MAY 1 @ THE BISHOP'S SCHOOL 1",,,,,,"FRIDAY, MAY 1 @ THE BISHOP'S SCHOOL 2",,,,,,,,,,,,
,,,,White,Dark,Score,Score,,,White,Dark,Score,Score,,A,B,C,D,E,F
,,3:00 PM,1,F1 - Stanford,F2 - San Clem Red,4,12,3:00 PM,7,A2 - Greenwich,A3 - CDM Boys,5,7,,SD Dons Red,Newport,908 Yellow,CC United A,Commerce,Stanford
,,3:45 PM,2,C1 - 908 Yellow,C3 - ORWP,18,3,3:45 PM,8,D2 - Temple City,D3 - 908 Blue,11,2,,Greenwich,SOCAL Black,YOLO Boys,Temple City,Lamorinda Blue,San Clem Red
,,4:30 PM,3,B1 - Newport,B2 - SOCAL Black,17,2,4:30 PM,9,E1 - Commerce,E3 - San Clem Black,15,3,,CDM Boys,CC United B,ORWP,908 Blue,San Clem Black,Lamorinda Gold
,,5:15 PM,4,F1 - Stanford,F3 - Lamorinda Gold,18,2,5:15 PM,10,A1 - SD Dons Red,A3 - CDM Boys,13,5,,,,,,,
,,6:00 PM,5,C2 - YOLO Boys,C3 - ORWP,5,16,6:00 PM,11,D1 - CC United A,D3 - 908 Blue,14,1,,G,H,I,J,K,L
,,6:45 PM,6,B2 - SOCAL Black,B3 - CC United B,13,4,6:45 PM,12,E1 - Commerce,E2 - Lamorinda Blue,15,5,,SD Dons Red,Newport,CDM Boys,SOCAL Black,Greenwich,CC United B
,,7:30 PM,,10U Coed AA,10U Coed AA,,,7:30 PM,,10U Coed AA,10U Coed AA,,,,Temple City,908 Yellow,CC United A,ORWP,908 Blue,YOLO Boys
,,,,,,,,,,,,,,,Commerce,San Clem Red,Lamorinda Blue,Stanford,San Clem Black,Lamorinda Gold
,,,,,,,,,,,,,,,,,,,,
,,"SATURDAY, MAY 2 @ THE BISHOP'S SCHOOL 1",,,,,,"SATURDAY, MAY 2 @ THE BISHOP'S SCHOOL 2",,,,,,,M (semi),N (semi),O (5th),P (7th),Q (9th),R (11th)
,,,,,,,,,,,,,,,SD Dons Red,Newport,Temple City,CC United A,CDM Boys,Lamorinda Blue
,,,,White,Dark,Score,Score,,,White,Dark,Score,Score,,908 Yellow,Commerce,San Clem Red,SOCAL Black,Stanford,ORWP
,,8:00 AM,13,C1 - 908 Yellow,C2 - YOLO Boys,21,0,8:00 AM,25,D1 - CC United A,D2 - Temple City,7,10,,,,,,,
,,8:45 AM,14,B1 - Newport,B3 - CC United B,19,0,8:45 AM,26,E2 - Lamorinda Blue,E3 - San Clem Black,13,2,,S (13th),T (15th),U (17th),,,
