Division 2,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,A,B,C,D,E,F,,
,,"FRIDAY, MAY 1 @ MEMORIAL POOL",,,,,,"FRIDAY, MAY 1 @ PARKWAY AQUATIC CENTER",,,,,,,Newport White,908,Temple City,Shore Aquatics,Lamorinda B,North Irvine
,,,,White,Dark,Score,Score,,,White,Dark,Score,Score,,Rose Bowl,Santa Barbara,CHAWP,Patriots,San Clemente,Laguna Beach
,,3:00 PM,,14U BOYS A,14U BOYS A,,,3:00 PM,5,D1 - Shore Aquatics,D3 - CCWP,22,3,,CC United,Seaside,AG Polo,CCWP,Tsunami,Davis
,,3:45 PM,1,B1 - 908,B2 - Santa Barbara,18,3,3:45 PM,6,E2 - San Clemente,E3 - Tsunami,10,12,,,,,,,
,,4:30 PM,2,C1 - Temple City,C2 - CHAWP,7,9,4:30 PM,7,A1 - Newport White,A2 - Rose Bowl,4,10,,G,H,I,J,K,L
,,5:15 PM,,14U BOYS A,14U BOYS A,,,5:15 PM,8,F1 - North Irvine,F2 - Laguna Beach,14,5,,Rose Bowl,908,Newport White,Seaside,CC United,Santa Barbara
,,6:00 PM,3,B2 - Santa Barbara,B3 - Seaside,3,9,6:00 PM,9,D2 - Patriots,D3 - CCWP,12,4,,Shore Aquatics,CHAWP,Patriots,Temple City,CCWP,AG Polo
,,6:45 PM,4,C2 - CHAWP,C3 - AG Polo,16,11,6:45 PM,10,E1 - Lamorinda B,E3 - Tsunami,5,13,,Tsunami,North Irvine,Lamorinda B,Davis,San Clemente,Laguna Beach
,,7:30 PM,,14U BOYS B,14U BOYS B,,,7:30 PM,11,A2 - Rose Bowl,A3 - CC United,14,4,,,,,,,
,,8:15 PM,,14U BOYS B,14U BOYS B,,,8:15 PM,12,F2 - Laguna Beach,F3 - Davis,6,10,,M (semi),N (semi),O (5th),P (7th),Q (9th),R (11th)
,,,,,,,,,,,,,,,Shore Aquatics,908,Tsunami,Newport White,Lamorinda B,Patriots
,,"SATURDAY, MAY 2 @ MEMORIAL POOL",,,,,,"SATURDAY, MAY 2 @ PARKWAY AQUATIC CENTER",,,,,,,CHAWP,Rose Bowl,North Irvine,Temple City,Davis,Seaside
,,,,,,,,,,,,,,,,,,,,
,,,,White,Dark,Score,Score,,,White,Dark,Score,Score,,S (13th),T (15th),U (17th),,,
,,8:00 AM,13,C1 - Temple City,C3 - AG Polo,14,7,8:00 AM,25,D1 - Shore Aquatics,D2 - Patriots,12,6,,San Clemente,CCWP,CC United,,,
,,8:45 AM,14,B1 - 908,B3 - Seaside,17,1,8:45 AM,26,E1 - Lamorinda B,E2 - San Clemente,11,7,,AG Polo,Laguna Beach,Santa Barbara,,,
,,9:30 AM,15,F1 - North Irvine,F3 - Davis,14,2,9:30 AM,27,A1 - Newport White,A3 - CC United,14,3,,,,,,,
,,10:15 AM,,BREAK,BREAK,,,10:15 AM,,BREAK,BREAK,,,,,,,,,
,,11:00 AM,,BREAK,BREAK,,,11:00 AM,,BREAK,BREAK,,,,,,,,,
,,11:45 AM,16,L1 - Santa Barbara,L2 - AG Polo,9,15,11:45 AM,28,K2 - CCWP,K3 - San Clemente,12,13,,,,,,,
,,12:30 PM,17,J1 - Seaside,J2 - Temple City,3,14,12:30 PM,29,I2 - Patriots,I3 - Lamorinda B,7,11,,,,,,,
,,1:15 PM,18,H1 - 908,H2 - CHAWP,12,10,1:15 PM,30,G2 - Shore Aquatics,G3 - Tsunami,11,1,,,,,,,
,,2:00 PM,19,L1 - Santa Barbara,L3 - Laguna Beach,7,10,2:00 PM,31,K1 - CC United,K3 - San Clemente,6,12,,,,,,,
,,2:45 PM,20,J1 - Seaside,J3 - Davis,6,13,2:45 PM,32,I1 - Newport White,I3 - Lamorinda B,7,3,,,,,,,
,,3:30 PM,21,H1 - 908,H3 - North Irvine,18,7,3:30 PM,33,G1 - Rose Bowl,G3 - Tsunami,8,6,,,,,,,
,,4:15 PM,22,L2 - AG Polo,L3 - Laguna Beach,15,8,4:15 PM,34,K1 - CC United,K2 - CCWP,8,14,,,,,,,
,,5:00 PM,23,J2 - Temple City,J3 - Davis,8,0,5:00 PM,35,I1 - Newport White,I2 - Patriots,9,6,,,,,,,
