14u Division 3,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,A,B,C,D,,,,,,
,,FRIDAY MAY 1 @ VALHALLA HS,,,,,,FRIDAY MAY 1 @ MEMORIAL POOL,,,,,,,Loyola,NSD Stars,SET,Norcal Aquatics B,,,,,,
,,,,White,Dark,Score,Score,,,White,Dark,Score,Score,,NGen,Crown City,CDM White,LACUWP,,,,,,
,,4:30 PM,1,B2 - Crown City,B3 - Stanford White,4,22,7:30 PM,6,A2 - NGen,A3 - San Clemente Black,6,16,,San Clemente Black,Stanford White,ECA B,Santa Barbara,,,,,,
,,5:15 PM,2,B1 - NSD Stars,B4 - Rose Bowl Black,17,4,8:15 PM,7,A1 - Loyola,A4 - Valley United,16,5,,Valley United,Rose Bowl Black,Sharks,Trilogy,,,,,,
,,6:00 PM,3,C2 - CDM White,C3 - ECA B,10,3,FRIDAY MAY 1 @ SANTANA HS,,,,,,,,,,,,,,,,
,,6:45 PM,4,D2 - LACUWP,D3 - Santa Barbara,12,4,,,,,,,,E,F,G,H,,,,,,
,,7:30 PM,,14U Girls A,14U Girls A,,,,,White,Dark,Score,Score,,San Clemente Black,NSD Stars,CDM White,LACUWP,,,,,,
,,8:15 PM,5,D1 - Norcal Aquatics B,D4 - Trilogy,16,3,7:30 PM,8,C1 - SET,C4 - Sharks,3,12,,Sharks,Norcal Aquatics B,Loyola,Stanford White,,,,,,
,,"West Hills - 8756 Mast Blvd, Santee, CA 92071",,,,,,"Santana - 9915 Magnolia Ave, Santee, CA 92071",,,,,,,,,,,,,,,,
,,SATURDAY MAY 2 @ WEST HILLS HS,,,,,,SATURDAY MAY 2 @ SANTANA HS,,,,,,,I,J,K,L,,,,,,
,,,,,,,,,,,,,,,Valley United,Rose Bowl Black,ECA B,Santa Barbara,,,,,,
,,,,White,Dark,Score,Score,,,White,Dark,Score,Score,,SET,Trilogy,NGen,Crown City,,,,,,
,,8:00 AM,9,C4 - Sharks,C2 - CDM White,4,8,8:00 AM,,12UG AA,12UG AA,,,,,,,,,,,,,
,,8:45 AM,10,A1 - Loyola,A3 - San Clemente Black,5,9,8:45 AM,,12UG AA,12UG AA,,,,,,,,,,,,,
