Day 1,HOT! RESULTS,SUBMIT SCORES!,Quarter Lengths by Day,,,,,,,,
7/23/2026,,,5-,,,,,,,,
,,,Seeds,,,,,,,,
A,B,C,D,E,F,,Team Travels,,,,
A1(1)-SD DONS,B1(2)-NEWPORT BEACH BLUE,C1(3)-NEWPORT BEACH WHITE,D1(4)-COMMERCE,E1(5)-GREENWICH BLUE,F1(6)-CDM BLUE,,,,,,
A2(24)-NORCAL BLACK,B2(23)-CC UNITED BLUE,C2(22)-SD DONS B,D2(21)-680 BLUE,E2(20)-LAMORINDA BLUE,F2(19)-LB SHORE,,,,,,
A3(25)-SAN CLEMENTE BLACK,B3(26)-GREENWICH WHITE,C3(27)-YOLO,D3(28)-SOCAL GOLD,E3(29)-SHAQ,F3(30)-CDM WHITE,,,,,,
,,,,,,,,,,,
G,H,I,J,K,L,,,,,,
G1(7)-SAN CLEMENTE RED,H1(8)-908 YELLOW,I1(9)-LA JOLLA UNITED,J1(10)-SOCAL BLACK,K1(11)-680 RED,L1(12)-ELITE,,,,,,
G2(18)-ORWP,H2(17)-STANFORD RED,I2(16)-CC UNITED BLACK,J2(15)-CAL REPUBLIC,K2(14)-TEMPLE CITY BLACK,L2(13)-TEMPLE CITY YELLOW,,,,,,
G3(31)-STANFORD BLACK,H3(32)-680 WHITE,I3(33)-LAMORINDA GOLD,J3(34)-LAMORINDA WHITE,,L3(35)-NORTHWEST,,,,,,
,,,,,,,,,,,10B
,,,EL TORO HS 2,,,,,,,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID
7/23/2026,7:00 AM,Group A,EL TORO HS 2,1,A1(1)-SD DONS,,A3(25)-SAN CLEMENTE BLACK,,,,10B-001
7/23/2026,7:50 AM,Group B,EL TORO HS 2,4,B1(2)-NEWPORT BEACH BLUE,,B3(26)-GREENWICH WHITE,,,,10B-004
7/23/2026,8:40 AM,Group C,EL TORO HS 2,7,C1(3)-NEWPORT BEACH WHITE,,C3(27)-YOLO,,,,10B-007
7/23/2026,9:30 AM,Group D,EL TORO HS 2,10,D1(4)-COMMERCE,,D3(28)-SOCAL GOLD,,,,10B-010
7/23/2026,10:20 AM,Group A,EL TORO HS 2,13,A2(24)-NORCAL BLACK,,A3(25)-SAN CLEMENTE BLACK,,,,10B-013
7/23/2026,11:10 AM,Group B,EL TORO HS 2,16,B2(23)-CC UNITED BLUE,,B3(26)-GREENWICH WHITE,,,,10B-016
7/23/2026,12:00 PM,Group C,EL TORO HS 2,19,C2(22)-SD DONS B,,C3(27)-YOLO,,,,10B-019
7/23/2026,12:50 PM,Group D,EL TORO HS 2,22,D2(21)-680 BLUE,,D3(28)-SOCAL GOLD,,,,10B-022
7/23/2026,1:40 PM,Group A,EL TORO HS 2,25,A1(1)-SD DONS,,A2(24)-NORCAL BLACK,,,,10B-025
7/23/2026,2:30 PM,Group B,EL TORO HS 2,28,B1(2)-NEWPORT BEACH BLUE,,B2(23)-CC UNITED BLUE,,,,10B-028
7/23/2026,3:20 PM,Group C,EL TORO HS 2,31,C1(3)-NEWPORT BEACH WHITE,,C2(22)-SD DONS B,,,,10B-031
7/23/2026,4:10 PM,Group D,EL TORO HS 2,34,D1(4)-COMMERCE,,D2(21)-680 BLUE,,,,10B-034
7/23/2026,BREAK,,,,,,,,,,
