Day 1,HOT! RESULTS,SUBMIT SCORES!,Quarter Lengths by Day,GOLS LIVE STREAM,,,,,,,
7/23/2026,,,6-6-7-7,,,,,,,,
,,,Seeds,,,,,,,,
A,B,C,D,E,F,,Team Travels,,,,
1-OCWPC BLUE,2-STANFORD BLACK,3-TSUNAMI,4-VANGUARD SILVER,5-ECA,6-ALAMEDA,,,,,,
24-FOOTHILL RED,23-HIELAND,22-TROJAN CARDINAL,21-TEMPLE CITY,20-SD SHORES GOLD,19-SAN JOSE EXPRESS BLUE,,,,,,
25-WCAC UNITED,26-DIABLO ALLIANCE B,27-VEGAS RENEGADES,28-SAN JOSE FOUNDATION BLACK,29-SD DONS BLACK,30-ROSE BOWL RED,,,,,,
48-CAPITAL,47-BAINBRIDGE,46-HONOLULU,45-TITANS GOLD,44-T HILLS,43-RAIN CITY,,,,,,
,,,,,,,,,,,
G,H,I,J,K,L,,,,,,
7-MISSION B,8-LB SHORE RED,9-PATRIOT RED,10-ROUTE 66,11-PRIDE BLACK,12-SHARKS,,,,,,
18-LAMORINDA B,17-ORWP BLACK,16-LA JOLLA UNITED B,15-CT PREMIER,14-KINGSBURG,13-680 BLUE,,,,,,
31-CARLSBAD,32-CENTRAL VALLEY UNITED,33-680 WHITE,34-PRAETORIAN,35-NEWPORT BEACH WHITE,36-LOKAHI,,,,,,
42-THIRD COAST,41-INNIS ARDEN,40-TEAM VEGAS RED,39-BROOKLYN HUSTLE,38-KERN PREMIER,37-CLOVIS RED,,,,,,
,,,,,,,,,,,14BX
,,,BREA OLINDA HS,,,,,,,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID
7/23/2026,7:00 AM,Group,BREA OLINDA HS,4,10-ROUTE 66,,39-BROOKLYN HUSTLE,,28,32,14BX-004
7/23/2026,7:50 AM,Group,BREA OLINDA HS,8,15-CT PREMIER,,34-PRAETORIAN,,28,32,14BX-008
7/23/2026,8:40 AM,Group,BREA OLINDA HS,12,11-PRIDE BLACK,,38-KERN PREMIER,,36,40,14BX-012
7/23/2026,9:30 AM,Group,BREA OLINDA HS,16,14-KINGSBURG,,35-NEWPORT BEACH WHITE,,36,40,14BX-016
7/23/2026,10:20 AM,Group,BREA OLINDA HS,20,12-SHARKS,,37-CLOVIS RED,,44,48,14BX-020
7/23/2026,11:10 AM,Group,BREA OLINDA HS,24,13-680 BLUE,,36-LOKAHI,,44,48,14BX-024
7/23/2026,12:00 PM,Group,BREA OLINDA HS,28,W4,,W8,,ag_N3,51,14BX-028
7/23/2026,12:50 PM,Group,BREA OLINDA HS,32,L4,,L8,,52,bz_T1,14BX-032
7/23/2026,1:40 PM,Group,BREA OLINDA HS,36,W12,,W16,,ag_O3,60,14BX-036
7/23/2026,2:30 PM,Group,BREA OLINDA HS,40,L12,,L16,,56,bz_S1,14BX-040
7/23/2026,3:20 PM,Group,BREA OLINDA HS,44,W20,,W24,,ag_P3,56,14BX-044
7/23/2026,4:10 PM,Group,BREA OLINDA HS,48,L20,,L24,,60,bz_R1,14BX-048
,BREAK,,,,,,,,,,
7/23/2026,5:50 PM,2-3 cross,BREA OLINDA HS,52,L27,,W32,,ag_U1,bz_N3,14BX-052
7/23/2026,6:40 PM,2-3 cross,BREA OLINDA HS,56,L44,,W40,,ag_R1,bz_O3,14BX-056
7/23/2026,7:30 PM,2-3 cross,BREA OLINDA HS,60,L36,,W48,,ag_S1,bz_P3,14BX-060
,,,,,,,,,,,
,,,BECKMAN HS 1,,,,,,,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID
7/23/2026,7:00 AM,Group,BECKMAN HS 1,3,9-PATRIOT RED,,40-TEAM VEGAS RED,,27,31,14BX-003
7/23/2026,7:50 AM,Group,BECKMAN HS 1,7,16-LA JOLLA UNITED B,,33-680 WHITE,,27,31,14BX-007
7/23/2026,8:40 AM,Group,BECKMAN HS 1,11,7-MISSION B,,42-THIRD COAST,,35,39,14BX-011
7/23/2026,9:30 AM,Group,BECKMAN HS 1,15,18-LAMORINDA B,,31-CARLSBAD,,35,39,14BX-015
7/23/2026,10:20 AM,Group,BECKMAN HS 1,19,8-LB SHORE RED,,41-INNIS ARDEN,,43,47,14BX-019
7/23/2026,11:10 AM,Group,BECKMAN HS 1,23,17-ORWP BLACK,,32-CENTRAL VALLEY UNITED,,43,47,14BX-023
7/23/2026,12:00 PM,Group,BECKMAN HS 1,27,W3,,W7,,ag_M3,52,14BX-027
7/23/2026,12:50 PM,Group,BECKMAN HS 1,31,L3,,L7,,51,bz_U1,14BX-031
7/23/2026,1:40 PM,Group,BECKMAN HS 1,35,W11,,W15,,ag_N2,59,14BX-035
7/23/2026,2:30 PM,Group,BECKMAN HS 1,39,L11,,L15,,55,bz_T2,14BX-039
7/23/2026,3:20 PM,Group,BECKMAN HS 1,43,W19,,W23,,ag_M2,55,14BX-043
7/23/2026,4:10 PM,Group,BECKMAN HS 1,47,L19,,L23,,59,bz_U2,14BX-047
,BREAK,,,,,,,,,,
