Day 1,HOT! RESULTS,SUBMIT SCORES!,Quarter Lengths by Day,,,,,,,,
7/23/2026,,,7-7-7-7,,,,,,,,
,,,Seeds,,,,,,,,
A,B,C,D,E,F,,Team Travels,,,,
1-NEWPORT BEACH,2-MISSION,3-SD DONS,4-CC UNITED BLACK,5-CORONA DEL MAR,6-LAMORINDA A,,,,,,
24-AMERICAN RIVER BLUE,23-SAND CANYON BLACK,22-SAN FRANCISCO WARRIORS,21-CT PREMIER,20-LA JOLLA UNITED A,19-FOOTHILL RED A,,,,,,
25-LA PREMIER A,26-KEARNS,27-VEGAS NORTH IRVINE BLACK,28-LONGHORN,29-SHAQ BLUE,30-ELMHURST,,,,,,
48-CIU GOLD,47-SLAP,46-SWIFT,45-WOLVERINE,44-PEGASUS BLUE,43-CHICAGO PARK,,,,,,
,,,,,,,,,,,
G,H,I,J,K,L,,,,,,
7-SOCAL,8-CIU SENIORS A,9-STANFORD RED,10-TROJAN CARDINAL,11-GREENWICH,12-AETOS,,,,,,
18-NORCAL BLACK,17-IMPERIAL BLUE,16-DIABLO ALLIANCE A,15-SD SHORES BLACK,14-ATHERTON,13-PRIDE A,,,,,,
31-CLOVIS A,32-PRAETORIAN,33-WCAC UNITED,34-PUNAHOU,35-VEGAS NORTH IRVINE RED,36-LOWPO,,,,,,
42-TEXAS THUNDER SOUTH BLUE,41-NIPC,40-PUGET SOUND,39-VNITED,38-TEXAS THUNDER NORTH BLACK,37-VANGUARD BLUE,,,,,,
,,,,,,,,,,,18B
,,,NORTHWOOD HS,,,,,,,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID
7/23/2026,7:00 AM,Group,NORTHWOOD HS,1,1-NEWPORT BEACH,,48-CIU GOLD,,26,27,18B-001
7/23/2026,8:00 AM,Group,NORTHWOOD HS,6,3-SD DONS,,46-SWIFT,,31,36,18B-006
7/23/2026,9:00 AM,Group,NORTHWOOD HS,11,22-SAN FRANCISCO WARRIORS,,27-VEGAS NORTH IRVINE BLACK,,31,36,18B-011
7/23/2026,10:00 AM,Group,NORTHWOOD HS,16,4-CC UNITED BLACK,,45-WOLVERINE,,41,45,18B-016
7/23/2026,11:00 AM,Group,NORTHWOOD HS,21,21-CT PREMIER,,28-LONGHORN,,41,45,18B-021
7/23/2026,12:00 PM,Group,NORTHWOOD HS,26,W1,,W2,,pt_M1,50,18B-026
7/23/2026,1:00 PM,Group,NORTHWOOD HS,31,W6,,W11,,pt_O1,56,18B-031
7/23/2026,2:00 PM,Group,NORTHWOOD HS,36,L6,,L11,,51,au_S3,18B-036
7/23/2026,3:00 PM,Group,NORTHWOOD HS,41,W16,,W21,,pt_P1,51,18B-041
7/23/2026,4:00 PM,Group,NORTHWOOD HS,45,L16,,L21,,56,au_R3,18B-045
,BREAK,,,,,,,,,,
7/23/2026,6:00 PM,2-3 cross,NORTHWOOD HS,51,L41,,W36,,pt_R3,au_O1,18B-051
7/23/2026,7:00 PM,2-3 cross,NORTHWOOD HS,56,L31,,W45,,pt_S3,au_P1,18B-056
,,,,,,,,,,,
,,,CHAPMAN UNIVERSITY,,,,,,,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID
7/23/2026,7:00 AM,Group,CHAPMAN UNIVERSITY,2,24-AMERICAN RIVER BLUE,,25-LA PREMIER A,,26,27,18B-002
7/23/2026,8:00 AM,Group,CHAPMAN UNIVERSITY,7,5-CORONA DEL MAR,,44-PEGASUS BLUE,,32,37,18B-007
7/23/2026,9:00 AM,Group,CHAPMAN UNIVERSITY,12,20-LA JOLLA UNITED A,,29-SHAQ BLUE,,32,37,18B-012
7/23/2026,10:00 AM,Group,CHAPMAN UNIVERSITY,17,6-LAMORINDA A,,43-CHICAGO PARK,,42,46,18B-017
7/23/2026,11:00 AM,Group,CHAPMAN UNIVERSITY,22,19-FOOTHILL RED A,,30-ELMHURST,,42,46,18B-022
7/23/2026,12:00 PM,Group,CHAPMAN UNIVERSITY,27,L1,,L2,,49,au_U3,18B-027
7/23/2026,1:00 PM,Group,CHAPMAN UNIVERSITY,32,W7,,W12,,pt_P2,57,18B-032
7/23/2026,2:00 PM,Group,CHAPMAN UNIVERSITY,37,L7,,L12,,52,au_R2,18B-037
7/23/2026,3:00 PM,Group,CHAPMAN UNIVERSITY,42,W17,,W22,,pt_O2,52,18B-042
7/23/2026,4:00 PM,Group,CHAPMAN UNIVERSITY,46,L17,,L22,,57,au_S2,18B-046
,BREAK,,,,,,,,,,
7/23/2026,6:00 PM,2-3 cross,CHAPMAN UNIVERSITY,52,L42,,W37,,pt_S2,au_P2,18B-052
7/23/2026,7:00 PM,2-3 cross,CHAPMAN UNIVERSITY,57,L32,,W46,,pt_R2,au_O2,18B-057
,,,,,,,,,,,
,,,WESTMINSTER HS,,,,,,,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID
7/23/2026,7:00 AM,Group,WESTMINSTER HS,4,23-SAND CANYON BLACK,,26-KEARNS,,28,29,18B-004
7/23/2026,8:00 AM,Group,WESTMINSTER HS,8,7-SOCAL,,42-TEXAS THUNDER SOUTH BLUE,,33,38,18B-008
7/23/2026,9:00 AM,Group,WESTMINSTER HS,13,18-NORCAL BLACK,,31-CLOVIS A,,33,38,18B-013
7/23/2026,10:00 AM,Group,WESTMINSTER HS,18,8-CIU SENIORS A,,41-NIPC,,43,47,18B-018
7/23/2026,11:00 AM,Group,WESTMINSTER HS,23,17-IMPERIAL BLUE,,32-PRAETORIAN,,43,47,18B-023
7/23/2026,12:00 PM,Group,WESTMINSTER HS,29,L3,,L4,,50,au_T3,18B-029
7/23/2026,1:00 PM,Group,WESTMINSTER HS,33,W8,,W13,,pt_N2,58,18B-033
7/23/2026,2:00 PM,Group,WESTMINSTER HS,38,L8,,L13,,53,au_T2,18B-038
7/23/2026,3:00 PM,Group,WESTMINSTER HS,43,W18,,W23,,pt_M2,53,18B-043
7/23/2026,4:00 PM,Group,WESTMINSTER HS,47,L18,,L23,,58,au_U2,18B-047
,BREAK,,,,,,,,,,
7/23/2026,6:00 PM,2-3 cross,WESTMINSTER HS,53,L43,,W38,,pt_U2,au_N2,18B-053
7/23/2026,7:00 PM,2-3 cross,WESTMINSTER HS,58,L33,,W47,,pt_T2,au_M2,18B-058
,,,,,,,,,,,
,,,JSERRA CHS,,,,,,,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID
7/23/2026,7:00 AM,Group,JSERRA CHS,3,2-MISSION,,47-SLAP,,28,29,18B-003
7/23/2026,8:00 AM,Group,JSERRA CHS,9,9-STANFORD RED,,40-PUGET SOUND,,34,39,18B-009
7/23/2026,9:00 AM,Group,JSERRA CHS,14,16-DIABLO ALLIANCE A,,33-WCAC UNITED,,34,39,18B-014
7/23/2026,10:00 AM,Group,JSERRA CHS,19,10-TROJAN CARDINAL,,39-VNITED,,44,48,18B-019
7/23/2026,11:00 AM,Group,JSERRA CHS,24,15-SD SHORES BLACK,,34-PUNAHOU,,44,48,18B-024
7/23/2026,12:00 PM,Group,JSERRA CHS,28,W3,,W4,,pt_N1,49,18B-028
7/23/2026,1:00 PM,Group,JSERRA CHS,34,W9,,W14,,pt_M3,59,18B-034
7/23/2026,2:00 PM,Group,JSERRA CHS,39,L9,,L14,,54,au_U1,18B-039
7/23/2026,3:00 PM,Group,JSERRA CHS,44,W19,,W24,,pt_N3,54,18B-044
7/23/2026,4:00 PM,Group,JSERRA CHS,48,L19,,L24,,59,au_T1,18B-048
,BREAK,,,,,,,,,,
7/23/2026,6:00 PM,2-3 cross,JSERRA CHS,54,L44,,W39,,pt_T1,au_M3,18B-054
7/23/2026,7:00 PM,2-3 cross,JSERRA CHS,59,L34,,W48,,pt_U1,au_N3,18B-059
,,,,,,,,,,,
,,,MARINA HS,,,,,,,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID
7/23/2026,7:00 AM,Group,MARINA HS,5,11-GREENWICH,,38-TEXAS THUNDER NORTH BLACK,,25,30,18B-005
7/23/2026,8:00 AM,Group,MARINA HS,10,14-ATHERTON,,35-VEGAS NORTH IRVINE RED,,25,30,18B-010
7/23/2026,9:00 AM,Group,MARINA HS,15,12-AETOS,,37-VANGUARD BLUE,,35,40,18B-015
7/23/2026,10:00 AM,Group,MARINA HS,20,13-PRIDE A,,36-LOWPO,,35,40,18B-020
7/23/2026,11:00 AM,Group,MARINA HS,25,W5,,W10,,pt_O3,60,18B-025
7/23/2026,12:00 PM,Group,MARINA HS,30,L5,,L10,,55,au_S1,18B-030
7/23/2026,1:00 PM,Group,MARINA HS,35,W15,,W20,,pt_P3,55,18B-035
7/23/2026,2:00 PM,Group,MARINA HS,40,L15,,L20,,60,au_R1,18B-040
,BREAK,,,,,,,,,,
7/23/2026,4:00 PM,2-3 cross,MARINA HS,49,L28,,W27,,pt_T3,au_M1,18B-049
7/23/2026,5:00 PM,2-3 cross,MARINA HS,50,L26,,W29,,pt_U3,au_N1,18B-050
7/23/2026,6:00 PM,2-3 cross,MARINA HS,55,L35,,W30,,pt_R1,au_O3,18B-055
7/23/2026,7:00 PM,2-3 cross,MARINA HS,60,L25,,W40,,pt_S1,au_P3,18B-060
,,,,,,,,,,,
Day 2,,,,,,,,,,,
7/24/2026,,,,,,,,,,,
,Platinum,,,,,,,,,,
,pt_M,pt_N,pt_O,pt_P,,,,,,,
1,W26,W28,W31,W41,,,,,,,
2,W43,W33,W42,W32,,,,,,,
3,W34,W44,W25,W35,,,,,,,
,,,,,,,,,,,
,pt_R,pt_S,pt_T,pt_U,,,,,,,
1,W55,W60,W54,W59,,,,,,,
2,W57,W52,W58,W53,,,,,,,
3,W51,W56,W49,W50,,,,,,,
,,,,,,,,,,,
,Gold,,,,,,,,,,
,au_M,au_N,au_O,au_P,,,,,,,
1,L49,L50,L51,L56,,,,,,,
2,L58,L53,L57,L52,,,,,,,
3,L54,L59,L55,L60,,,,,,,
,,,,,,,,,,,
,au_R,au_S,au_T,au_U,,,,,,,
1,L40,L30,L48,L39,,,,,,,
2,L37,L46,L38,L47,,,,,,,
3,L45,L36,L29,L27,,,,,,,
,,,,,,,,,,,
,,,NORTHWOOD HS,,,,,,,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID
7/24/2026,8:00 AM,Group,NORTHWOOD HS,64,pt_O2,,pt_O3,,,,18B-064
7/24/2026,9:00 AM,Group,NORTHWOOD HS,68,pt_M1,,pt_M2,,,,18B-068
7/24/2026,10:00 AM,Group,NORTHWOOD HS,74,pt_R1,,pt_R2,,,,18B-074
