Day 1,HOT! RESULTS,SUBMIT SCORES!,Quarter Lengths by Day,,,,,,,,
7/23/2026,,,6-6-7-7,,,,,,,,
,,,Seeds,,,,,,,,
A,B,C,D,E,F,,Team Travels,,,,
1-SAN JOSE EXPRESS BLUE,2-LB SHORE,3-SANTA CRUZ,4-SOUTH COAST RED,5-COMMERCE,6-CHAWP WHITE,,,,,,
24-LA JOLLA UNITED B,23-WEST VALLEY,22-CLOVIS RED,21-RAIN CITY,20-CARLSBAD,19-SAN JOSE FOUNDATION,,,,,,
25-AMERICAN RIVER GOLD,26-VANGUARD SILVER,27-ALAMEDA,28-CHULA VISTA PREMIER,29-ALBUQUERQUE,30-CHARGERS BLACK,,,,,,
48-ELMHURST,47-NORCO,46-LV LEGENDS,45-MOOSE,44-SHAQ WHITE,43-CINCINNATI MARLINS,,,,,,
,,,,,,,,,,,
G,H,I,J,K,L,,,,,,
7-HIELAND,8-ORWP,9-KINGSBURG,10-SD SHORES GOLD,11-SET,12-CENTRAL VALLEY UNITED,,,,,,
18-ROSE BOWL RED,17-SUPREME,16-NAVY,15-OHANA,14-SAND CANYON RED,13-TSUNAMI,,,,,,
31-THIRD COAST,32-MID PEN,33-ASPHALT GREEN,34-CLOVIS B,35-VIPER PIGEON,36-AQUATEX,,,,,,
42-CC UNITED BLUE,41-WCAC UNITED B,40-NEWBERG,39-TOPAZ TSUNAMI,38-FARALLON,37-MESA,,,,,,
,,,,,,,,,,,18BX
,,,SUNNY HILLS HS,,,,,,,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID
7/23/2026,7:00 AM,Group,SUNNY HILLS HS,1,3-SANTA CRUZ,,46-LV LEGENDS,,25,29,18BX-001
7/23/2026,7:50 AM,Group,SUNNY HILLS HS,5,22-CLOVIS RED,,27-ALAMEDA,,25,29,18BX-005
7/23/2026,8:40 AM,Group,SUNNY HILLS HS,9,1-SAN JOSE EXPRESS BLUE,,48-ELMHURST,,33,37,18BX-009
7/23/2026,9:30 AM,Group,SUNNY HILLS HS,13,24-LA JOLLA UNITED B,,25-AMERICAN RIVER GOLD,,33,37,18BX-013
7/23/2026,10:20 AM,Group,SUNNY HILLS HS,17,2-LB SHORE,,47-NORCO,,41,45,18BX-017
7/23/2026,11:10 AM,Group,SUNNY HILLS HS,21,23-WEST VALLEY,,26-VANGUARD SILVER,,41,45,18BX-021
7/23/2026,12:00 PM,Group,SUNNY HILLS HS,25,W1,,W5,,ag_O1,50,18BX-025
7/23/2026,12:50 PM,Group,SUNNY HILLS HS,29,L1,,L5,,49,bz_S3,18BX-029
7/23/2026,1:40 PM,Group,SUNNY HILLS HS,33,W9,,W13,,ag_M1,57,18BX-033
7/23/2026,2:30 PM,Group,SUNNY HILLS HS,37,L9,,L13,,53,bz_U3,18BX-037
7/23/2026,3:20 PM,Group,SUNNY HILLS HS,41,W17,,W21,,ag_N1,53,18BX-041
7/23/2026,4:10 PM,Group,SUNNY HILLS HS,45,L17,,L21,,57,bz_T3,18BX-045
,BREAK,,,,,,,,,,
7/23/2026,5:50 PM,2-3 cross,SUNNY HILLS HS,49,L26,,W29,,ag_R3,bz_O1,18BX-049
7/23/2026,6:40 PM,2-3 cross,SUNNY HILLS HS,53,L41,,W37,,ag_T3,bz_M1,18BX-053
7/23/2026,7:30 PM,2-3 cross,SUNNY HILLS HS,57,L33,,W45,,ag_U3,bz_N1,18BX-057
,,,,,,,,,,,
,,,TROY HS,,,,,,,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID
7/23/2026,7:00 AM,Group,TROY HS,2,4-SOUTH COAST RED,,45-MOOSE,,26,30,18BX-002
7/23/2026,7:50 AM,Group,TROY HS,6,21-RAIN CITY,,28-CHULA VISTA PREMIER,,26,30,18BX-006
7/23/2026,8:40 AM,Group,TROY HS,10,5-COMMERCE,,44-SHAQ WHITE,,34,38,18BX-010
7/23/2026,9:30 AM,Group,TROY HS,14,20-CARLSBAD,,29-ALBUQUERQUE,,34,38,18BX-014
7/23/2026,10:20 AM,Group,TROY HS,18,6-CHAWP WHITE,,43-CINCINNATI MARLINS,,42,46,18BX-018
7/23/2026,11:10 AM,Group,TROY HS,22,19-SAN JOSE FOUNDATION,,30-CHARGERS BLACK,,42,46,18BX-022
7/23/2026,12:00 PM,Group,TROY HS,26,W2,,W6,,ag_P1,49,18BX-026
7/23/2026,12:50 PM,Group,TROY HS,30,L2,,L6,,50,bz_R3,18BX-030
7/23/2026,1:40 PM,Group,TROY HS,34,W10,,W14,,ag_P2,58,18BX-034
7/23/2026,2:30 PM,Group,TROY HS,38,L10,,L14,,54,bz_R2,18BX-038
7/23/2026,3:20 PM,Group,TROY HS,42,W18,,W22,,ag_O2,54,18BX-042
7/23/2026,4:10 PM,Group,TROY HS,46,L18,,L22,,58,bz_S2,18BX-046
,BREAK,,,,,,,,,,
7/23/2026,5:50 PM,2-3 cross,TROY HS,50,L25,,W30,,ag_S3,bz_P1,18BX-050
7/23/2026,6:40 PM,2-3 cross,TROY HS,54,L42,,W38,,ag_S2,bz_P2,18BX-054
