Day 1,HOT! RESULTS,SUBMIT SCORES!,Quarter Lengths by Day,,,,,,,,
7/23/2026,,,6-6-7-7,,,,,,,,
,,,Seeds,,,,,,,,
A,B,C,D,,,,,,,,
A1(1)-CHAWP BLUE,B1(2)-TROJAN GOLD,C1(3)-TEAM SANTA MONICA,D1(4)-NSD STARS,,,,,,,,
A2(16)-NGEN,B2(15)-KERN PREMIER,C2(14)-LAMORINDA BRENTWOOD,D2(13)-SOVA,,,,,,,,
A3(17)-TRI VALLEY TRITONS,B3(18)-AMP,C3(19)-SAN JOSE ALMADEN,D3(20)-TRILOGY,,,,,,,,
,,,,,,,,,,,
E,F,G,H,,,,,,,,
E1(5)-FOOTHILL BLACK B,F1(6)-YETI,G1(7)-SACRAMENTO,H1(8)-SOUTH COUNTY,,,,,,,,
E2(12)-TRI VALLEY,F2(11)-PAC ORANGE,G2(10)-BIG VALLEY,H2(9)-ROUTE 66,,,,,,,,
E3(21)-TUALATIN HILLS,F3(22)-ECA,G3(23)-SFV,H3(24)-VALLEY UNITED,,,,,,,,
,,,,,,,,,,,18BQ
,,,,,,,,,,,
,,,ANAHEIM HS,,,,,,,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID
7/23/2026,7:00 AM,Group,ANAHEIM HS,1,A1(1)-CHAWP BLUE,,A3(17)-TRI VALLEY TRITONS,,,,18BQ-001
7/23/2026,7:50 AM,Group,ANAHEIM HS,3,H1(8)-SOUTH COUNTY,,H3(24)-VALLEY UNITED,,,,18BQ-003
7/23/2026,8:40 AM,Group,ANAHEIM HS,5,B1(2)-TROJAN GOLD,,B3(18)-AMP,,,,18BQ-005
7/23/2026,9:30 AM,Group,ANAHEIM HS,7,G1(7)-SACRAMENTO,,G3(23)-SFV,,,,18BQ-007
7/23/2026,10:20 AM,Group,ANAHEIM HS,9,A2(16)-NGEN,,A3(17)-TRI VALLEY TRITONS,,,,18BQ-009
7/23/2026,11:10 AM,Group,ANAHEIM HS,11,H2(9)-ROUTE 66,,H3(24)-VALLEY UNITED,,,,18BQ-011
,,,,,,,,,,,
,custom times,,SADDLEBACK COLLEGE,,,,,,,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID
7/23/2026,1:00 PM,Group,SADDLEBACK COLLEGE,13,B2(15)-KERN PREMIER,,B3(18)-AMP,,,,18BQ-013
7/23/2026,1:50 PM,Group,SADDLEBACK COLLEGE,15,G2(10)-BIG VALLEY,,G3(23)-SFV,,,,18BQ-015
7/23/2026,2:40 PM,Group,SADDLEBACK COLLEGE,17,A1(1)-CHAWP BLUE,,A2(16)-NGEN,,,,18BQ-017
7/23/2026,3:30 PM,Group,SADDLEBACK COLLEGE,19,H1(8)-SOUTH COUNTY,,H2(9)-ROUTE 66,,,,18BQ-019
7/23/2026,4:20 PM,Group,SADDLEBACK COLLEGE,21,B1(2)-TROJAN GOLD,,B2(15)-KERN PREMIER,,,,18BQ-021
,BREAK,,,,,,,,,,
7/23/2026,6:00 PM,Group,SADDLEBACK COLLEGE,23,G1(7)-SACRAMENTO,,G2(10)-BIG VALLEY,,,,18BQ-023
7/23/2026,6:50 PM,Cross,SADDLEBACK COLLEGE,25,2ndA-,,2ndH-,,ni_C3,cu_D1,18BQ-025
7/23/2026,7:40 PM,Cross,SADDLEBACK COLLEGE,27,2ndB-,,2ndG-,,ni_D3,cu_C1,18BQ-027
,,,,,,,,,,,
,,,,,,,,,,,
,,,LA SERNA HS,,,,,,,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID
7/23/2026,7:00 AM,Group,LA SERNA HS,2,C1(3)-TEAM SANTA MONICA,,C3(19)-SAN JOSE ALMADEN,,,,18BQ-002
7/23/2026,7:50 AM,Group,LA SERNA HS,4,F1(6)-YETI,,F3(22)-ECA,,,,18BQ-004
7/23/2026,8:40 AM,Group,LA SERNA HS,6,D1(4)-NSD STARS,,D3(20)-TRILOGY,,,,18BQ-006
7/23/2026,9:30 AM,Group,LA SERNA HS,8,E1(5)-FOOTHILL BLACK B,,E3(21)-TUALATIN HILLS,,,,18BQ-008
7/23/2026,10:20 AM,Group,LA SERNA HS,10,C2(14)-LAMORINDA BRENTWOOD,,C3(19)-SAN JOSE ALMADEN,,,,18BQ-010
7/23/2026,11:10 AM,Group,LA SERNA HS,12,F2(11)-PAC ORANGE,,F3(22)-ECA,,,,18BQ-012
7/23/2026,12:00 PM,Group,LA SERNA HS,14,D2(13)-SOVA,,D3(20)-TRILOGY,,,,18BQ-014
7/23/2026,12:50 PM,Group,LA SERNA HS,16,E2(12)-TRI VALLEY,,E3(21)-TUALATIN HILLS,,,,18BQ-016
7/23/2026,1:40 PM,Group,LA SERNA HS,18,C1(3)-TEAM SANTA MONICA,,C2(14)-LAMORINDA BRENTWOOD,,,,18BQ-018
7/23/2026,2:30 PM,Group,LA SERNA HS,20,F1(6)-YETI,,F2(11)-PAC ORANGE,,,,18BQ-020
7/23/2026,3:20 PM,Group,LA SERNA HS,22,D1(4)-NSD STARS,,D2(13)-SOVA,,,,18BQ-022
