team_id,team_name,club_id,team_level,games
mission-wpc-a,Mission Wpc A,mission-wpc,A,24
set-a,Set A,set,A,21
stanford-b,Stanford B,stanford,B,21
north-irvine-a,North Irvine A,north-irvine,A,20
vanguard-b,Vanguard B,vanguard,B,20
back-bay-a,Back Bay A,back-bay,A,19
norcal-a,Norcal A,norcal,A,18
north-irvine-b,North Irvine B,north-irvine,B,17
patriot-a,Patriot A,patriot,A,17
patriot-b,Patriot B,patriot,B,17
la-premier-a,LA Premier A,la-premier,A,16
lamorinda-a,Lamorinda A,lamorinda,A,16
vanguard-a,Vanguard A,vanguard,A,16
680-a,680 A,680,A,15
680-c,680 C,680,C,15
alameda-a,Alameda A,alameda,A,15
cc-united-b,CC United B,cc-united,B,15
south-coast-a,South Coast A,south-coast,A,15
south-coast-b,South Coast B,south-coast,B,15
lamorinda-b,Lamorinda B,lamorinda,B,14
mission-wpc-b,Mission Wpc B,mission-wpc,B,14
newport-beach-a,Newport Beach A,newport-beach,A,14
stanford-a,Stanford A,stanford,A,14
680-b,680 B,680,B,13
cc-united-a,CC United A,cc-united,A,13
commerce-a,Commerce A,commerce,A,13
hieland-a,Hieland A,hieland,A,13
la-jolla-united-a,LA Jolla United A,la-jolla-united,A,13
san-clemente-black-a,San Clemente Black A,san-clemente-black,A,13
sd-dons-a,SD Dons A,sd-dons,A,13
shore-aquatics-a,Shore Aquatics A,shore-aquatics,A,13
foothill-a,Foothill A,foothill,A,12
santa-barbara-a,Santa Barbara A,santa-barbara,A,12
trojan-cardinal-a,Trojan Cardinal A,trojan-cardinal,A,12
trojan-gold-a,Trojan Gold A,trojan-gold,A,12
greenwich-a,Greenwich A,greenwich,A,11
lawpc-a,LAWPC A,lawpc,A,11
norcal-b,Norcal B,norcal,B,11
northwest-a,Northwest A,northwest,A,11
route-66-a,Route 66 A,route-66,A,11
908-a,908 A,908,A,10
cc-united-c,CC United C,cc-united,C,10
cdm-a,CDM A,cdm,A,10
diablo-alliance-a,Diablo Alliance A,diablo-alliance,A,10
diablo-alliance-b,Diablo Alliance B,diablo-alliance,B,10
rose-bowl-black-a,Rose Bowl Black A,rose-bowl-black,A,10
sharks-a,Sharks A,sharks,A,10
temple-city-a,Temple City A,temple-city,A,10
davis-a,Davis A,davis,A,9
foothill-b,Foothill B,foothill,B,9
ngen-a,Ngen A,ngen,A,9
pride-black-a,Pride Black A,pride-black,A,9
renegades-a,Renegades A,renegades,A,9
san-francisco-a,San Francisco A,san-francisco,A,9
supreme-a,Supreme A,supreme,A,9
titans-a,Titans A,titans,A,9
valley-united-a,Valley United A,valley-united,A,9
908-blue-a,908 Blue A,908-blue,A,8
american-river-a,American River A,american-river,A,8
american-river-b,American River B,american-river,B,8
devils-gate-a,Devils Gate A,devils-gate,A,8
san-clemente-red-a,San Clemente Red A,san-clemente-red,A,8
santa-cruz-a,Santa Cruz A,santa-cruz,A,8
sj-express-a,SJ Express A,sj-express,A,8
gold-coast-a,Gold Coast A,gold-coast,A,7
loyola-a,Loyola A,loyola,A,7
ocwpc-c,OCWPC C,ocwpc,C,7
rose-bowl-red-a,Rose Bowl Red A,rose-bowl-red,A,7
san-jose-foundation-blue-a,San Jose Foundation Blue A,san-jose-foundation-blue,A,7
tsm-a,Tsm A,tsm,A,7
burlingame-a,Burlingame A,burlingame,A,6
lamorinda-c,Lamorinda C,lamorinda,C,6
midpen-a,Midpen A,midpen,A,6
palos-verdes-b,Palos Verdes B,palos-verdes,B,6
pasadena-ac-orange-a,Pasadena Ac Orange A,pasadena-ac-orange,A,6
san-clem-red-a,San Clem Red A,san-clem-red,A,6
san-jose-express-blue-a,San Jose Express Blue A,san-jose-express-blue,A,6
san-jose-foundation-black-a,San Jose Foundation Black A,san-jose-foundation-black,A,6
sand-canyon-a,Sand Canyon A,sand-canyon,A,6
sd-eca-a,SD Eca A,sd-eca,A,6
socal-a,SOCAL A,socal,A,6
tsunami-blue-a,Tsunami Blue A,tsunami-blue,A,6
908-yellow-a,908 Yellow A,908-yellow,A,5
ciu-coast-a,CIU Coast A,ciu-coast,A,5
ciu-gold-a,CIU Gold A,ciu-gold,A,5
clovis-red,Clovis Red,clovis-red,A,5
cmac-a,Cmac A,cmac,A,5
crown-city-a,Crown City A,crown-city,A,5
eca-b,Eca B,eca,B,5
gate-14u-a,Gate 14u A,gate-14u,A,5
kingsburg-a,Kingsburg A,kingsburg,A,5
la-city-united-a,LA City United A,la-city-united,A,5
