slug,club,region,locationLabel,rankedTeams,website,websiteStatus,websiteVerifiedAt,websiteSource,reviewNote
680,680 Water Polo,East Bay,,15,https://www.680waterpolo.com/,present_unverified,,Existing WPI registry value,
808,808,Out of State,"Honolulu, HI",1,,missing,,,
908,908,Central Coast,,5,,missing,,,
99-alliance,99 Alliance,Central Valley,"Merced, CA",1,,missing,,,
a-team-called-quest,A Team Called Quest,Los Angeles,"Whittier, CA",1,,missing,,,
a-town,A Town,Central Coast,"Atascadero, CA",1,,missing,,,
aetos,Aetos,Orange County,,2,,missing,,,
alameda,Alameda Neptunes,East Bay,,6,https://alamedawaterpolo.org/?avia_forced_reroute=1,present_unverified,,Existing WPI registry value,
albuquerque,Albuquerque,Out of State,"Albuquerque, NM",1,,missing,,,
american-river,American River Water Polo Club,Sacramento,,9,https://www.arwpc.com/,present_unverified,,Existing WPI registry value,
aquatex,Aquatex,Out of State,"Round Rock, TX",1,,missing,,,
arroyo-grande,Arroyo Grande,Central Coast,,4,,missing,,,
asa,ASA,Central Valley,"Merced, CA",1,,missing,,,
asphalt-green,Asphalt Green,Out of State,,6,https://www.asphaltgreen.org/aquatics/water-polo/,verified_official,2026-07-27,Official Asphalt Green Water Polo page,
atherton,Atherton,Peninsula / San Francisco,"Atherton, CA",1,,missing,,,
atwater,Atwater,Central Valley,"Atwater, CA",1,,missing,,,
back-bay,Back Bay,Orange County,,5,,missing,,,
bainbridge,Bainbridge,Out of State,"Bainbridge Island, WA",2,,missing,,,
barcelona-lions,Barcelona Lions,Out of State,"Barcelona, Spain",3,,missing,,,
berkeley-wpc,Berkeley WPC,East Bay,,1,,missing,,,
big-valley,Big Valley,Central Valley,,3,,missing,,,
brea-olinda,Brea Olinda,Orange County,,1,,missing,,,
brooklyn-hustle,Brooklyn Hustle,Out of State,"Brooklyn, NY",6,,needs_verification,,,"SportsEngine identifies nycap.nyc, but the exact Brooklyn Hustle landing page requires manual verification."
bulldog,Bulldog,Central Valley,,3,,missing,,,
burlingame,Burlingame,Peninsula / San Francisco,"Burlingame, CA",2,,missing,,,
cal-rep,Cal Rep,Sacramento,,4,,missing,,,
capital,Capital,Out of State,"Washington, DC",3,,missing,,,
carlsbad,Carlsbad,San Diego,,5,,missing,,,
cc-united,CC United,East Bay,,11,https://www.gomotionapp.com/team/wpccup/page/home,present_unverified,,Existing WPI registry value,
cdm,CDM,Orange County,,8,,needs_verification,,,Official club website not confidently verified in this wave.
central-coast,Central Coast,Central Coast,,5,,missing,,,
