slug,club,region,locationLabel,rankedTeams,website,websiteStatus,websiteUpdatedAt,websiteSource,reviewNote
680,680 Water Polo,East Bay,,15,https://www.680waterpolo.com/,present_unverified,,Existing WPI registry value,
808,808,Out of State,"Honolulu, HI",1,https://www.iowaterpoloclub.org/,user_supplied,2026-07-28,User-provided club website audit,
908,908,Central Coast,,5,https://tonyazevedo.com/908-club/,user_supplied,2026-07-28,User-provided club website audit,
99-alliance,99 Alliance,Central Valley,"Merced, CA",1,,no_site_found,2026-07-28,User-provided club website audit,User reported no website found.
a-team-called-quest,A Team Called Quest,Los Angeles,"Whittier, CA",1,https://ateamcalled.quest/,user_supplied,2026-07-28,User-provided club website audit,
a-town,A Town,Central Coast,"Atascadero, CA",1,https://www.atownpolo.com/,user_supplied,2026-07-28,User-provided club website audit,
aetos,Aetos,Orange County,,2,https://aetoswpc-com.l.ink/,user_supplied,2026-07-28,User-provided club website audit,
alameda,Alameda Neptunes,East Bay,,6,https://alamedawaterpolo.org/?avia_forced_reroute=1,present_unverified,,Existing WPI registry value,
albuquerque,Albuquerque,Out of State,"Albuquerque, NM",1,https://www.albuquerquewaterpoloclub.com/,user_supplied,2026-07-28,User-provided club website audit,
american-river,American River Water Polo Club,Sacramento,,9,https://www.arwpc.com/,present_unverified,,Existing WPI registry value,
aquatex,Aquatex,Out of State,"Round Rock, TX",1,https://www.gomotionapp.com/team/strra/page/home,user_supplied,2026-07-28,User-provided club website audit,
arroyo-grande,Arroyo Grande,Central Coast,,4,https://sites.google.com/view/arroyograndewaterpoloclub/home,user_supplied,2026-07-28,User-provided club website audit,
asa,ASA,Central Valley,"Merced, CA",1,https://asaaquatics.waterpolocentral.net/,user_supplied,2026-07-28,User-provided club website audit,
asphalt-green,Asphalt Green,Out of State,,6,https://www.asphaltgreen.org/aquatics/water-polo/,verified_official,,Official Asphalt Green Water Polo page,
atherton,Atherton,Peninsula / San Francisco,"Atherton, CA",1,,no_site_found,2026-07-28,User-provided club website audit,User reported no website found.
atwater,Atwater,Central Valley,"Atwater, CA",1,,no_site_found,2026-07-28,User-provided club website audit,User reported no website found.
back-bay,Back Bay,Orange County,,5,https://www.backbayaquaticsfoundation.org/,user_supplied,2026-07-28,User-provided club website audit,
bainbridge,Bainbridge,Out of State,"Bainbridge Island, WA",2,https://biwaterpolo.com/,user_supplied,2026-07-28,User-provided club website audit,
barcelona-lions,Barcelona Lions,Out of State,"Barcelona, Spain",3,https://www.barcelonalionswaterpolo.com/,user_supplied,2026-07-28,User-provided club website audit,
berkeley-wpc,Berkeley WPC,East Bay,,1,,no_site_found,2026-07-28,User-provided club website audit,User reported no website found.
big-valley,Big Valley,Central Valley,,3,https://bigvalleywpa.com/,user_supplied,2026-07-28,User-provided club website audit,
brea-olinda,Brea Olinda,Orange County,,1,https://www.breaolindaaquatics.com/,user_supplied,2026-07-28,User-provided club website audit,
brooklyn-hustle,Brooklyn Hustle,Out of State,"Brooklyn, NY",6,https://brooklynwaterpolo.org/,user_supplied,2026-07-28,User-provided club website audit,
bulldog,Bulldog,Central Valley,,3,https://www.bulldogwaterpolo.com/,user_supplied,2026-07-28,User-provided club website audit,
burlingame,Burlingame,Peninsula / San Francisco,"Burlingame, CA",2,https://www.burlingameaquatics.com/programs/competitive/age-group-water-polo,user_supplied,2026-07-28,User-provided club website audit,
cal-rep,Cal Rep,Sacramento,,4,https://calrepublicwpc.com/,user_supplied,2026-07-28,User-provided club website audit,
capital,Capital,Out of State,"Washington, DC",3,https://www.capitalwaterpolo.com/,user_supplied,2026-07-28,User-provided club website audit,
carlsbad,Carlsbad,San Diego,,5,https://www.carlsbadwaterpolo.com/,user_supplied,2026-07-28,User-provided club website audit,
cc-united,CC United,East Bay,,11,https://www.gomotionapp.com/team/wpccup/page/home,present_unverified,,Existing WPI registry value,
cdm,CDM,Orange County,,8,https://www.cdmpolo.com/,user_supplied,2026-07-28,User-provided club website audit,
central-coast,Central Coast,Central Coast,,5,https://slowaterpolo.org/home,user_supplied,2026-07-28,User-provided club website audit,
ciu,Channel Islands United,Central Coast,,9,https://waterpoloroster.com/WaterPoloTeam/GTGVDSDWSKODJSWTVDSDWSKODJKLTA/channel-islands-united,user_supplied,2026-07-28,User-provided club website audit,
chargers,Chargers,Orange County,"Cypress, CA",1,https://chargerswaterpolo.com/,user_supplied,2026-07-28,User-provided club website audit,
chawp,Chawp,Inland Empire,,11,https://chawp.com/,verified_official,,Official CHAWP Aquatics website,
chicago-park,Chicago Park,Out of State,"Chicago, IL",6,https://cpdclubwaterpolo.com/,verified_official,,Official Chicago Park District Water Polo Club website,
cincinnati-marlins,Cincinnati Marlins,Out of State,"Cincinnati, OH",1,https://www.cincy-marlins.com/,user_supplied,2026-07-28,User-provided club website audit,
clovis,Clovis Water Polo Club,Central Valley,"Clovis, CA",12,https://www.cloviswpc.com/,present_unverified,,Existing WPI registry value,
club-daygo,Club Daygo,San Diego,,1,https://www.instagram.com/daygopolo/,user_supplied,2026-07-28,User-provided club website audit,
cmac,Cmac,Orange County,,2,https://www.cmacwaterpolo.com/page/home,user_supplied,2026-07-28,User-provided club website audit,
colorado,Colorado,Out of State,"Denver, CO",3,https://coloradowaterpolo.org/,user_supplied,2026-07-28,User-provided club website audit,
commerce,Commerce Water Polo,Los Angeles,,8,https://www.gomotionapp.com/team/comm/page/home,present_unverified,,Existing WPI registry value,
ct-premier,CT Premier,Out of State,,5,https://www.ctpremierwpc.com/,user_supplied,2026-07-28,User-provided club website audit,
cv-premier,CV Premier,San Diego,,3,https://www.cvpremierwp.com/,user_supplied,2026-07-28,User-provided club website audit,
cvu,CVU,Central Valley,,3,https://playpass.com/central-valley-united-water-polo,user_supplied,2026-07-28,User-provided club website audit,
dart,Dart,Sacramento,"Fairfield, CA",1,https://dartsolanowaterpolo.com/,user_supplied,2026-07-28,User-provided club website audit,
davis,Davis Water Polo Club,Sacramento,,8,https://www.daviswaterpolo.org/,present_unverified,,Existing WPI registry value,
del-mar,Del Mar,San Diego,,1,https://www.delmarwaterpoloclub.com/?srsltid=AfmBOoplnvfnc9qofA0F_Sc8LmE-gx4YFCQyuyifsHOXOCukIidfivqg,user_supplied,2026-07-28,User-provided club website audit,
devils-gate,Devils Gate,Los Angeles,,1,https://devilsgatewaterpolo.com/,user_supplied,2026-07-28,User-provided club website audit,
diablo-alliance,Diablo Alliance,East Bay,,10,https://www.diablowaterpolo.com/,present_unverified,,Existing WPI registry value,
elite,Elite,Los Angeles,,1,https://www.elitewaterpolo.com/,user_supplied,2026-07-28,User-provided club website audit,
elmhurst,Elmhurst,Out of State,"Elmhurst, IL",5,https://www.elmhurstaquatics.org/,user_supplied,2026-07-28,User-provided club website audit,
farallon,Farallon,Peninsula / San Francisco,,1,https://farallonaquatics.org/water-polo,user_supplied,2026-07-28,User-provided club website audit,
foothill,Foothill,Orange County,,8,https://foothillclubwaterpolo.org/,user_supplied,2026-07-28,User-provided club website audit,
foothill-club,Foothill Club Water Polo,Orange County,,2,https://foothillclubwaterpolo.org/,present_unverified,,Existing WPI registry value,
gold-coast,Gold Coast,Central Coast,,1,https://www.goldcoastwaterpoloclub.com/,user_supplied,2026-07-28,User-provided club website audit,
great-lakes-aquatics,Great Lakes Aquatics,Out of State,"Grand Rapids, MI",2,https://glaquatics.com/,user_supplied,2026-07-28,User-provided club website audit,
greenwich,Greenwich,Out of State,,11,https://greenwichaquaticswaterpolo.com/,verified_official,,Official Greenwich Aquatics Water Polo website,
hawaiian-islands,Hawaiian Islands,Out of State,"Honolulu, HI",1,https://www.hawaiiwaterpolo.com/,user_supplied,2026-07-28,User-provided club website audit,
hieland,Hieland,Orange County,,2,https://www.hielandwpc.com/,user_supplied,2026-07-28,User-provided club website audit,
hilo-grammaz,Hilo Grammaz,Out of State,"Hilo, HI",1,https://docs.google.com/forms/d/e/1FAIpQLSdh4ysHgC6SEtHD-2hFx6qmDP0oj6KfHcJAi8bFPRPlbPirXg/viewform,user_supplied,2026-07-28,User-provided club website audit,
hilo-hammahz,Hilo Hammahz,Out of State,"Hilo, HI",1,https://docs.google.com/forms/d/e/1FAIpQLSdh4ysHgC6SEtHD-2hFx6qmDP0oj6KfHcJAi8bFPRPlbPirXg/viewform,user_supplied,2026-07-28,User-provided club website audit,
honolulu-water-polo,Honolulu Water Polo,Out of State,,6,https://www.hnlwaterpolo.org/,verified_official,,Official Honolulu Water Polo website,
imperial,Imperial,Inland Empire,,2,https://imperialwaterpolo.com/,user_supplied,2026-07-28,User-provided club website audit,
innis-arden,Innis Arden,Out of State,,2,https://www.innisardenswimclub.com/water-polo/,user_supplied,2026-07-28,User-provided club website audit,
kearns,Kearns,Out of State,"Kearns, UT",5,https://www.kearnswaterpolo.com/,user_supplied,2026-07-28,User-provided club website audit,
kern-premier,Kern Premier,Central Valley,Central California,4,https://wwvv.kernpremier.com/,user_supplied,2026-07-28,User-provided club website audit,
kingsburg,Kingsburg,Central Valley,,2,https://kingsburg.waterpolocentral.net/,user_supplied,2026-07-28,User-provided club website audit,
la-jolla-united,La Jolla United,San Diego,,15,https://lajollaunited.com/,present_unverified,,Existing WPI registry value,
la-premier,LA Premier,Los Angeles,,5,https://www.premierwaterpolo.com/,user_supplied,2026-07-28,User-provided club website audit,
laguna-beach,Laguna Beach,Orange County,,3,https://www.lagunabeachwaterpolo.com/,user_supplied,2026-07-28,User-provided club website audit,
lamorinda-brentwood,Lamorinda Brentwood,East Bay,"Brentwood, CA",1,https://www.lamobrentwood.org/,user_supplied,2026-07-28,User-provided club website audit,
lamorinda,Lamorinda Water Polo,East Bay,,15,https://www.lamorindawaterpolo.org/,present_unverified,,Existing WPI registry value,
legacy,Legacy,Central Coast,,3,https://www.legacywpc.org/,user_supplied,2026-07-28,User-provided club website audit,
lokahi,Lokahi,Out of State,"Honolulu, HI",2,https://waterpoloroster.com/WaterPoloTeam/WSKODJATPRSWTEDJYPVDSDEDJYPBRC/lokahi-water-polo-club,user_supplied,2026-07-28,User-provided club website audit,
long-beach-shore,Long Beach Shore,Los Angeles,,7,https://www.gomotionapp.com/team/shoreaquatics/page/home,verified_official,,Official Long Beach Shore Aquatics website,
longhorn,Longhorn,Out of State,"Austin, TX",5,https://longhornaquatics.utexas.edu/programs/water-polo,user_supplied,2026-07-28,User-provided club website audit,
los-alamitos,Los Alamitos,Orange County,,3,https://www.losalamitosaquaticsfoundation.org/,user_supplied,2026-07-28,User-provided club website audit,
lowpo,LOWPO,Out of State,,5,https://lowpo.org/,user_supplied,2026-07-28,User-provided club website audit,
loyola-wpc,Loyola WPC,Los Angeles,,2,https://loyolawpclub.com/,user_supplied,2026-07-28,User-provided club website audit,
lv-legends,LV Legends,Los Angeles,,2,https://www.lvlegendswaterpoloclub.com/,user_supplied,2026-07-28,User-provided club website audit,
lyons-aquatics,Lyons Aquatics,Out of State,"Western Springs, IL",6,https://www.gomotionapp.com/team/illa/page/home,verified_official,,Official LYONS Aquatics website,
mavericks,Mavericks,Peninsula / San Francisco,,3,https://www.maverickswaterpoloclub.com/,user_supplied,2026-07-28,User-provided club website audit,
meridian,Meridian,East Bay,,1,https://meridianwpc.org/,user_supplied,2026-07-28,User-provided club website audit,
mesa,Mesa,Out of State,"Mesa, AZ",2,https://www.mesawaterpolo.com/,user_supplied,2026-07-28,User-provided club website audit,
miami-riptides,Miami Riptides,Out of State,"Miami, FL",1,https://www.miamiriptides.com/,user_supplied,2026-07-28,User-provided club website audit,
mid-pen,Mid Pen,Peninsula / San Francisco,,1,https://www.mpwaterpolo.com/,user_supplied,2026-07-28,User-provided club website audit,
mid-valley,Mid Valley,Los Angeles,,5,https://www.mvpolo.org/,user_supplied,2026-07-28,User-provided club website audit,
mission,Mission WPC,Orange County,,8,https://missionwpc.com/home,present_unverified,,Existing WPI registry value,
moose,Moose,Out of State,"Liberty Township, OH",2,https://www.moose.team/,user_supplied,2026-07-28,User-provided club website audit,
narrows,Narrows,Out of State,"Tacoma, WA",1,https://www.narrowswaterpolo.com/,user_supplied,2026-07-28,User-provided club website audit,
