club,slug,region,locationLabel,rankedTeams,websiteStatus,reviewNote
908,908,Central Coast,,5,missing,
A Town,a-town,Central Coast,"Atascadero, CA",1,missing,
Arroyo Grande,arroyo-grande,Central Coast,,4,missing,
Central Coast,central-coast,Central Coast,,5,missing,
Channel Islands United,ciu,Central Coast,,9,needs_verification,Channel Islands United appears to operate as an alliance; standalone official website not yet confirmed.
Gold Coast,gold-coast,Central Coast,,1,missing,
Legacy,legacy,Central Coast,,3,missing,
Seaside,seaside,Central Coast,,4,missing,
99 Alliance,99-alliance,Central Valley,"Merced, CA",1,missing,
ASA,asa,Central Valley,"Merced, CA",1,missing,
Atwater,atwater,Central Valley,"Atwater, CA",1,missing,
Big Valley,big-valley,Central Valley,,3,missing,
Bulldog,bulldog,Central Valley,,3,missing,
CVU,cvu,Central Valley,,3,missing,
Kern Premier,kern-premier,Central Valley,Central California,4,missing,
Kingsburg,kingsburg,Central Valley,,2,missing,
Skip,skip,Central Valley,,1,missing,
South Valley,south-valley,Central Valley,"Visalia, CA",1,missing,
Turul,turul,Central Valley,"Ripon, CA",2,missing,
Visalia United,visalia-united,Central Valley,"Visalia, CA",3,missing,
Berkeley WPC,berkeley-wpc,East Bay,,1,missing,
Lamorinda Brentwood,lamorinda-brentwood,East Bay,"Brentwood, CA",1,missing,
Meridian,meridian,East Bay,,1,missing,
Tri-Valley Tritons,tri-valley-tritons,East Bay,"Pleasanton, CA",4,missing,
Yolo,yolo,East Bay,,1,missing,
Imperial,imperial,Inland Empire,,2,missing,
Norco,norco,Inland Empire,,4,missing,
Route 66,route-66,Inland Empire,,2,missing,
A Team Called Quest,a-team-called-quest,Los Angeles,"Whittier, CA",1,missing,
Devils Gate,devils-gate,Los Angeles,,1,missing,
Elite,elite,Los Angeles,,1,missing,
LA Premier,la-premier,Los Angeles,,5,missing,
LV Legends,lv-legends,Los Angeles,,2,missing,
Loyola WPC,loyola-wpc,Los Angeles,,2,missing,
Mid Valley,mid-valley,Los Angeles,,5,missing,
ORWP,orwp,Los Angeles,,6,missing,
PV WPC,pv-wpc,Los Angeles,,5,missing,
Pasadena AC,pasadena-ac,Los Angeles,,1,missing,
SFV,sfv,Los Angeles,,2,missing,
Smac,smac,Los Angeles,,1,missing,
Supreme,supreme,Los Angeles,,1,missing,
TSM,tsm,Los Angeles,,1,missing,
Temple City,temple-city,Los Angeles,,5,missing,
Titans,titans,Los Angeles,,1,missing,
Viking,viking,Los Angeles,,4,missing,
Whittier,whittier,Los Angeles,,2,missing,
Yeti,yeti,Los Angeles,,1,missing,
Aetos,aetos,Orange County,,2,missing,
Back Bay,back-bay,Orange County,,5,missing,
Brea Olinda,brea-olinda,Orange County,,1,missing,
CDM,cdm,Orange County,,8,needs_verification,Official club website not confidently verified in this wave.
