score,recommendation,team_a,team_b,levels,games_a,games_b,tournament_similarity,opponent_similarity,shared_tournaments
103.0,merge,eca-a,eca-b,A/B,1,5,1.0,0.0,san-diego-county-cup
103.0,merge,sd-dons-b,sd-dons-c,B/C,2,3,1.0,0.0,san-diego-county-cup
103.0,merge,sd-dons-b,sd-dons-d,B/D,2,1,1.0,0.0,san-diego-county-cup
103.0,merge,sd-dons-c,sd-dons-d,C/D,3,1,1.0,0.0,san-diego-county-cup
95.0,merge,nbwp-a,nbwp-b,A/B,5,4,1.0,0.0,sopac-jo-qualifier
95.0,merge,pv-a,pv-b,A/B,5,4,1.0,0.0,cca-jo-qualifier
83.8,merge,sd-dons-a,sd-dons-b,A/B,19,2,0.33,0.07,san-diego-county-cup
82.2,merge,sd-dons-a,sd-dons-d,A/D,19,1,0.33,0.0,san-diego-county-cup
75.0,review,ocwpc-a,ocwpc-c,A/C,8,4,0.5,0.0,kap7
75.0,review,orwp-a,orwp-b,A/B,4,8,0.33,0.0,turbo-oc-cup
75.0,review,palos-verdes-a,palos-verdes-b,A/B,4,6,0.5,0.0,kap7
75.0,review,tsm-a,tsm-b,A/B,7,4,0.5,0.0,turbo-oc-cup
74.6,review,la-jolla-united-a,la-jolla-united-b,A/B,19,4,0.33,0.12,futures-super-finals
74.4,review,san-clemente-b,san-clemente-c,B/C,6,5,1.0,0.38,sopac-jo-qualifier
74.2,review,sd-dons-a,sd-dons-c,A/C,19,3,0.33,0.0,san-diego-county-cup
71.3,review,south-coast-a,south-coast-c,A/C,17,4,0.25,0.05,kap7
70.0,review,south-coast-b,south-coast-c,B/C,17,4,0.25,0.0,kap7
65.0,review,cdm-a,cdm-b,A/B,14,3,0.0,0.0,
65.0,review,ocwpc-b,ocwpc-c,B/C,9,4,0.0,0.0,
63.1,review,mission-wpc-a,mission-wpc-b,A/B,24,19,1.0,0.12,futures-super-finals;kap7;san-diego-county-cup;sopac-jo-qualifier;turbo-oc-cup
63.0,review,3-channel-islands-united-a,channel-islands-united-a,A/A,1,3,1.0,0.0,kap7
63.0,review,3rdj-channel-islands-united-a,channel-islands-united-a,A/A,1,3,1.0,0.0,kap7
63.0,review,3rds-tri-valley-tritons-a,tri-valley-tritons-a,A/A,1,4,1.0,0.0,norcal-jo-qualifier
63.0,review,680-b,680-c,B/C,14,16,1.0,0.12,futures-super-finals;kap7;norcal-jo-qualifier
62.5,review,diablo-alliance-a,diablo-alliance-b,A/B,10,11,1.0,0.17,futures-super-finals;norcal-jo-qualifier
61.5,review,patriot-a,patriot-b,A/B,22,19,1.0,0.06,futures-super-finals;kap7;san-diego-county-cup;sopac-jo-qualifier;turbo-oc-cup
61.3,review,1sta-brea-olinda-a,brea-olinda-a,A/A,1,2,1.0,0.0,turbo-oc-cup
61.3,review,1stg-poway-valley-a,poway-valley-a,A/A,1,4,1.0,0.0,kap7
61.3,review,2ndg-pasadena-ac-a,pasadena-ac-a,A/A,1,4,1.0,0.0,kap7
61.3,review,3rdg-palos-verdes-a,palos-verdes-a,A/A,1,4,1.0,0.0,kap7
61.3,review,3rdq-tmec-wp-a,tmec-wp-a,A/A,2,4,1.0,0.0,sopac-jo-qualifier
60.0,review,3-channel-islands-united-a,3rdj-channel-islands-united-a,A/A,1,1,1.0,0.0,kap7
59.8,review,south-coast-a,south-coast-b,A/B,17,17,1.0,0.03,cca-jo-qualifier;futures-super-finals;kap7;san-diego-county-cup
59.6,review,vanguard-a,vanguard-b,A/B,21,23,1.0,0.05,futures-super-finals;kap7;sopac-jo-qualifier;turbo-oc-cup
59.1,review,680-a,680-b,A/B,15,14,1.0,0.08,futures-super-finals;kap7;norcal-jo-qualifier
58.0,review,1stp-chawp-a,chawp-a,A/A,2,4,1.0,0.0,sopac-jo-qualifier
58.0,review,2ndh-nbwp-a,nbwp-a,A/A,1,5,1.0,0.0,sopac-jo-qualifier
58.0,review,2ndr-burlingame-a,burlingame-a,A/A,1,6,1.0,0.0,norcal-jo-qualifier
58.0,review,2nds-midpen-a,midpen-a,A/A,1,6,1.0,0.0,norcal-jo-qualifier
58.0,review,3rdj-nbwp-b,nbwp-b,B/B,1,4,1.0,0.0,sopac-jo-qualifier
58.0,review,3rdm-cmac-a,cmac-a,A/A,1,5,1.0,0.0,sopac-jo-qualifier
58.0,review,4th-in-g-la-city-united-a,la-city-united-a,A/A,1,5,1.0,0.0,cca-jo-qualifier
57.9,review,680-a,680-c,A/C,15,16,1.0,0.03,futures-super-finals;kap7;norcal-jo-qualifier
56.8,review,norcal-a,norcal-b,A/B,19,12,0.75,0.11,futures-super-finals;norcal-jo-qualifier;san-diego-county-cup
55.2,review,stanford-a,stanford-b,A/B,20,21,0.75,0.14,futures-super-finals;kap7;norcal-jo-qualifier
55.0,review,american-river-a,american-river-b,A/B,9,9,1.0,0.0,futures-super-finals;kap7
55.0,review,north-irvine-a,north-irvine-b,A/B,26,17,0.8,0.03,futures-super-finals;kap7;san-diego-county-cup;sopac-jo-qualifier
