source_team_id,collapsed_to
19-route-66-aquatics-a,route-66-a
1st-in-a-la-premier-a,la-premier-a
1st-in-b-pv-black-a,1st-in-b-pv-a
1st-in-c-ciu-gold-a,1st-in-c-ciu-a
1st-in-d-908-yellow-a,908-a
1st-in-e-commerce-a,commerce-a
1st-in-h-south-coast-red-a,south-coast-a
1sta-brea-olinda-gold-a,1sta-brea-olinda-a
1sta-mission-a,mission-wpc-a
1sta-north-irvine-red-a,north-irvine-a
1stb-la-jolla-united-a,la-jolla-united-a
1stb-newport-beach-blue-a,newport-beach-a
1stb-orange-county-wpc-b,ocwpc-b
1stc-norcal-a,norcal-a
1stc-vanguard-blue-a,vanguard-a
1stc-vanguard-silver-a,vanguard-a
1std-alameda-a,alameda-a
1std-mission-a,mission-wpc-a
1std-newport-beach-silver-a,newport-beach-a
1ste-908-a,908-a
1stf-commerce-a,commerce-a
1stg-lawpc-a,lawpc-a
1stg-mission-wpc-a,mission-wpc-a
1stg-north-irvine-a,north-irvine-a
1stg-patriot-navy-a,patriot-a
1stg-poway-valley-black-a,1stg-poway-valley-a
1sth-ccu-a,cc-united-a
1sth-mission-wpc-a,mission-wpc-a
1sth-skip-a,skip-a
1stj-cdm-a,cdm-a
1stj-diablo-alliance-b,diablo-alliance-b
1stj-la-jolla-united-navy-a,la-jolla-united-a
1stk-680-b,680-b
1stk-tsunami-blue-a,1stk-tsunami-a
1stl-norcal-b,norcal-b
1stm-back-bay-a,back-bay-a
1stm-stanford-c,stanford-c
1stn-mission-wpc-b,mission-wpc-b
1stq-ocwpc-red-b,ocwpc-b
1str-cc-united-white-a,cc-united-a
1str-patriot-red-b,patriot-b
1sts-stanford-white-a,stanford-a
20-devil-s-gate-a,devils-gate-a
24-pride-red-a,pride-a
25-american-river-blue-a,american-river-a
26-south-coast-white-b,south-coast-b
2nd-in-a-foothill-red-a,foothill-a
2nd-in-b-rose-bowl-red-a,rose-bowl-a
2nd-in-c-trojan-cardinal-a,trojan-a
2nd-in-d-route-66-a,route-66-a
2nd-in-e-temple-city-a,temple-city-a
2nd-in-f-shore-red-a,2nd-in-f-shore-a
2nd-in-g-orwp-14u-black-a,2nd-in-g-orwp-14u-a
2nd-in-h-pride-black-a,pride-a
2nda-patriot-a,patriot-a
2nda-san-diego-dons-14-black-a,sd-dons-a
2ndb-newport-beach-a,newport-beach-a
2ndb-patriot-red-a,patriot-a
2ndc-san-diego-dons-a,sd-dons-a
2ndc-sd-dons-a,sd-dons-a
2ndd-la-premier-a,la-premier-a
2ndd-mission-12a-a,mission-wpc-a
2ndg-socal-black-a,socal-a
2ndg-vanguard-blue-a,vanguard-a
2ndg-vegas-renegades-a,renegades-a
2ndh-nbwp-blue-a,2ndh-nbwp-a
2ndh-sj-foundation-a,sj-foundation-a
