participantId,name,season,ageGroup,gender,group,canonicalClubId,identityStatus,aliases,sources
tournament-team-2026-10u-boys-2nd-a,2nd A-,2026,10U,Boys,10U Boys,,tournament_only_team,2nd A-,2026-jo-weekend-2|10u-championship
tournament-team-2026-10u-boys-2nd-b,2nd B-,2026,10U,Boys,10U Boys,,tournament_only_team,2nd B-,2026-jo-weekend-2|10u-championship
tournament-team-2026-10u-boys-2nd-c,2nd C-,2026,10U,Boys,10U Boys,,tournament_only_team,2nd C-,2026-jo-weekend-2|10u-championship
tournament-team-2026-10u-boys-2nd-d,2nd D-,2026,10U,Boys,10U Boys,,tournament_only_team,2nd D-,2026-jo-weekend-2|10u-championship
tournament-team-2026-10u-boys-2nd-e,2nd E-,2026,10U,Boys,10U Boys,,tournament_only_team,2nd E-,2026-jo-weekend-2|10u-championship
tournament-team-2026-10u-boys-2nd-f,2nd F-,2026,10U,Boys,10U Boys,,tournament_only_team,2nd F-,2026-jo-weekend-2|10u-championship
tournament-team-2026-10u-boys-2nd-g,2nd G-,2026,10U,Boys,10U Boys,,tournament_only_team,2nd G-,2026-jo-weekend-2|10u-championship
tournament-team-2026-10u-boys-2nd-h,2nd H-,2026,10U,Boys,10U Boys,,tournament_only_team,2nd H-,2026-jo-weekend-2|10u-championship
tournament-team-2026-10u-boys-2nd-i,2nd I-,2026,10U,Boys,10U Boys,,tournament_only_team,2nd I-,2026-jo-weekend-2|10u-championship
tournament-team-2026-10u-boys-2nd-j,2nd J-,2026,10U,Boys,10U Boys,,tournament_only_team,2nd J-,2026-jo-weekend-2|10u-championship
tournament-team-2026-10u-boys-2nd-k,2nd K-,2026,10U,Boys,10U Boys,,tournament_only_team,2nd K-,2026-jo-weekend-2|10u-championship
tournament-team-2026-10u-boys-3rd-a,3rd A-,2026,10U,Boys,10U Boys,,tournament_only_team,3rd A-,2026-jo-weekend-2|10u-championship
tournament-team-2026-10u-boys-3rd-b,3rd B-,2026,10U,Boys,10U Boys,,tournament_only_team,3rd B-,2026-jo-weekend-2|10u-championship
tournament-team-2026-10u-boys-3rd-c,3rd C-,2026,10U,Boys,10U Boys,,tournament_only_team,3rd C-,2026-jo-weekend-2|10u-championship
tournament-team-2026-10u-boys-3rd-d,3rd D-,2026,10U,Boys,10U Boys,,tournament_only_team,3rd D-,2026-jo-weekend-2|10u-championship
tournament-team-2026-10u-boys-3rd-e,3rd E-,2026,10U,Boys,10U Boys,,tournament_only_team,3rd E-,2026-jo-weekend-2|10u-championship
tournament-team-2026-10u-boys-3rd-f,3rd F-,2026,10U,Boys,10U Boys,,tournament_only_team,3rd F-,2026-jo-weekend-2|10u-championship
tournament-team-2026-10u-boys-3rd-g,3rd G-,2026,10U,Boys,10U Boys,,tournament_only_team,3rd G-,2026-jo-weekend-2|10u-championship
tournament-team-2026-10u-boys-3rd-h,3rd H-,2026,10U,Boys,10U Boys,,tournament_only_team,3rd H-,2026-jo-weekend-2|10u-championship
tournament-team-2026-10u-boys-3rd-i,3rd I-,2026,10U,Boys,10U Boys,,tournament_only_team,3rd I-,2026-jo-weekend-2|10u-championship
tournament-team-2026-10u-boys-3rd-j,3rd J-,2026,10U,Boys,10U Boys,,tournament_only_team,3rd J-,2026-jo-weekend-2|10u-championship
tournament-team-2026-10u-boys-3rd-l,3rd L-,2026,10U,Boys,10U Boys,,tournament_only_team,3rd L-,2026-jo-weekend-2|10u-championship
tournament-team-2026-10u-boys-680-blue,680 BLUE,2026,10U,Boys,10U Boys,,tournament_only_team,680 BLUE | D2(21)-680 BLUE,2026-jo-weekend-2|10u-championship
tournament-team-2026-10u-boys-680-red,680 RED,2026,10U,Boys,10U Boys,,tournament_only_team,680 RED | K1(11)-680 RED,2026-jo-weekend-2|10u-championship
tournament-team-2026-10u-boys-680-white,680 WHITE,2026,10U,Boys,10U Boys,,tournament_only_team,680 WHITE | H3(32)-680 WHITE,2026-jo-weekend-2|10u-championship
tournament-team-2026-10u-boys-908-yellow,908 YELLOW,2026,10U,Boys,10U Boys,,tournament_only_team,908 YELLOW | H1(8)-908 YELLOW,2026-jo-weekend-2|10u-championship
tournament-team-2026-10u-boys-cal-republic,CAL REPUBLIC,2026,10U,Boys,10U Boys,,tournament_only_team,CAL REPUBLIC | J2(15)-CAL REPUBLIC,2026-jo-weekend-2|10u-championship
tournament-team-2026-10u-boys-cc-united-black,CC UNITED BLACK,2026,10U,Boys,10U Boys,,tournament_only_team,CC UNITED BLACK | I2(16)-CC UNITED BLACK,2026-jo-weekend-2|10u-championship
tournament-team-2026-10u-boys-cc-united-blue,CC UNITED BLUE,2026,10U,Boys,10U Boys,,tournament_only_team,B2(23)-CC UNITED BLUE | CC UNITED BLUE,2026-jo-weekend-2|10u-championship
tournament-team-2026-10u-boys-cdm-blue,CDM BLUE,2026,10U,Boys,10U Boys,,tournament_only_team,CDM BLUE | F1(6)-CDM BLUE,2026-jo-weekend-2|10u-championship
tournament-team-2026-10u-boys-cdm-white,CDM WHITE,2026,10U,Boys,10U Boys,,tournament_only_team,CDM WHITE | F3(30)-CDM WHITE,2026-jo-weekend-2|10u-championship
tournament-team-2026-10u-boys-commerce,COMMERCE,2026,10U,Boys,10U Boys,club-commerce,canonical_club_tournament_team,COMMERCE | D1(4)-COMMERCE,2026-jo-weekend-2|10u-championship
tournament-team-2026-10u-boys-elite,ELITE,2026,10U,Boys,10U Boys,club-elite,canonical_club_tournament_team,ELITE | L1(12)-ELITE,2026-jo-weekend-2|10u-championship
tournament-team-2026-10u-boys-greenwich-blue,GREENWICH BLUE,2026,10U,Boys,10U Boys,,tournament_only_team,E1(5)-GREENWICH BLUE | GREENWICH BLUE,2026-jo-weekend-2|10u-championship
tournament-team-2026-10u-boys-greenwich-white,GREENWICH WHITE,2026,10U,Boys,10U Boys,,tournament_only_team,B3(26)-GREENWICH WHITE | GREENWICH WHITE,2026-jo-weekend-2|10u-championship
tournament-team-2026-10u-boys-la-jolla-united,LA JOLLA UNITED,2026,10U,Boys,10U Boys,club-la-jolla-united,canonical_club_tournament_team,I1(9)-LA JOLLA UNITED | LA JOLLA UNITED,2026-jo-weekend-2|10u-championship
tournament-team-2026-10u-boys-lamorinda-blue,LAMORINDA BLUE,2026,10U,Boys,10U Boys,,tournament_only_team,E2(20)-LAMORINDA BLUE | LAMORINDA BLUE,2026-jo-weekend-2|10u-championship
tournament-team-2026-10u-boys-lamorinda-gold,LAMORINDA GOLD,2026,10U,Boys,10U Boys,,tournament_only_team,I3(33)-LAMORINDA GOLD | LAMORINDA GOLD,2026-jo-weekend-2|10u-championship
tournament-team-2026-10u-boys-lamorinda-white,LAMORINDA WHITE,2026,10U,Boys,10U Boys,,tournament_only_team,J3(34)-LAMORINDA WHITE | LAMORINDA WHITE,2026-jo-weekend-2|10u-championship
tournament-team-2026-10u-boys-lb-shore,LB SHORE,2026,10U,Boys,10U Boys,,tournament_only_team,F2(19)-LB SHORE | LB SHORE,2026-jo-weekend-2|10u-championship
tournament-team-2026-10u-boys-newport-beach-blue,NEWPORT BEACH BLUE,2026,10U,Boys,10U Boys,,tournament_only_team,B1(2)-NEWPORT BEACH BLUE | NEWPORT BEACH BLUE,2026-jo-weekend-2|10u-championship
tournament-team-2026-10u-boys-newport-beach-white,NEWPORT BEACH WHITE,2026,10U,Boys,10U Boys,,tournament_only_team,C1(3)-NEWPORT BEACH WHITE | NEWPORT BEACH WHITE,2026-jo-weekend-2|10u-championship
tournament-team-2026-10u-boys-norcal-black,NORCAL BLACK,2026,10U,Boys,10U Boys,,tournament_only_team,A2(24)-NORCAL BLACK | NORCAL BLACK,2026-jo-weekend-2|10u-championship
tournament-team-2026-10u-boys-northwest,NORTHWEST,2026,10U,Boys,10U Boys,club-northwest,canonical_club_tournament_team,L3(35)-NORTHWEST | NORTHWEST,2026-jo-weekend-2|10u-championship
tournament-team-2026-10u-boys-orwp,ORWP,2026,10U,Boys,10U Boys,club-orwp,canonical_club_tournament_team,G2(18)-ORWP | ORWP,2026-jo-weekend-2|10u-championship
tournament-team-2026-10u-boys-san-clemente-black,SAN CLEMENTE BLACK,2026,10U,Boys,10U Boys,,tournament_only_team,A3(25)-SAN CLEMENTE BLACK | SAN CLEMENTE BLACK,2026-jo-weekend-2|10u-championship
tournament-team-2026-10u-boys-san-clemente-red,SAN CLEMENTE RED,2026,10U,Boys,10U Boys,club-san-clemente-red,canonical_club_tournament_team,G1(7)-SAN CLEMENTE RED | SAN CLEMENTE RED,2026-jo-weekend-2|10u-championship
tournament-team-2026-10u-boys-sd-dons,SD DONS,2026,10U,Boys,10U Boys,club-sd-dons,canonical_club_tournament_team,A1(1)-SD DONS | SD DONS,2026-jo-weekend-2|10u-championship
tournament-team-2026-10u-boys-sd-dons-b,SD DONS B,2026,10U,Boys,10U Boys,,tournament_only_team,C2(22)-SD DONS B | SD DONS B,2026-jo-weekend-2|10u-championship
tournament-team-2026-10u-boys-shaq,SHAQ,2026,10U,Boys,10U Boys,club-shaq,canonical_club_tournament_team,E3(29)-SHAQ | SHAQ,2026-jo-weekend-2|10u-championship
tournament-team-2026-10u-boys-socal-black,SOCAL BLACK,2026,10U,Boys,10U Boys,,tournament_only_team,J1(10)-SOCAL BLACK | SOCAL BLACK,2026-jo-weekend-2|10u-championship
tournament-team-2026-10u-boys-socal-gold,SOCAL GOLD,2026,10U,Boys,10U Boys,,tournament_only_team,D3(28)-SOCAL GOLD | SOCAL GOLD,2026-jo-weekend-2|10u-championship
tournament-team-2026-10u-boys-stanford-black,STANFORD BLACK,2026,10U,Boys,10U Boys,,tournament_only_team,G3(31)-STANFORD BLACK | STANFORD BLACK,2026-jo-weekend-2|10u-championship
tournament-team-2026-10u-boys-stanford-red,STANFORD RED,2026,10U,Boys,10U Boys,,tournament_only_team,H2(17)-STANFORD RED | STANFORD RED,2026-jo-weekend-2|10u-championship
tournament-team-2026-10u-boys-temple-city-black,TEMPLE CITY BLACK,2026,10U,Boys,10U Boys,,tournament_only_team,K2(14)-TEMPLE CITY BLACK | TEMPLE CITY BLACK,2026-jo-weekend-2|10u-championship
tournament-team-2026-10u-boys-temple-city-yellow,TEMPLE CITY YELLOW,2026,10U,Boys,10U Boys,,tournament_only_team,L2(13)-TEMPLE CITY YELLOW | TEMPLE CITY YELLOW,2026-jo-weekend-2|10u-championship
tournament-team-2026-10u-boys-yolo,YOLO,2026,10U,Boys,10U Boys,club-yolo,canonical_club_tournament_team,C3(27)-YOLO | YOLO,2026-jo-weekend-2|10u-championship
tournament-team-2026-10u-boys-pt-m1,pt_M1-,2026,10U,Boys,10U Boys,,tournament_only_team,pt_M1-,2026-jo-weekend-2|10u-championship
tournament-team-2026-10u-boys-pt-m2,pt_M2-,2026,10U,Boys,10U Boys,,tournament_only_team,pt_M2-,2026-jo-weekend-2|10u-championship
tournament-team-2026-10u-boys-pt-m3,pt_M3-,2026,10U,Boys,10U Boys,,tournament_only_team,pt_M3-,2026-jo-weekend-2|10u-championship
tournament-team-2026-10u-boys-pt-n1,pt_N1-,2026,10U,Boys,10U Boys,,tournament_only_team,pt_N1-,2026-jo-weekend-2|10u-championship
tournament-team-2026-10u-boys-pt-n2,pt_N2-,2026,10U,Boys,10U Boys,,tournament_only_team,pt_N2-,2026-jo-weekend-2|10u-championship
tournament-team-2026-10u-boys-pt-n3,pt_N3-,2026,10U,Boys,10U Boys,,tournament_only_team,pt_N3-,2026-jo-weekend-2|10u-championship
tournament-team-2026-10u-boys-pt-o1,pt_O1-,2026,10U,Boys,10U Boys,,tournament_only_team,pt_O1-,2026-jo-weekend-2|10u-championship
tournament-team-2026-10u-boys-pt-o2,pt_O2-,2026,10U,Boys,10U Boys,,tournament_only_team,pt_O2-,2026-jo-weekend-2|10u-championship
tournament-team-2026-10u-boys-pt-o3,pt_O3-,2026,10U,Boys,10U Boys,,tournament_only_team,pt_O3-,2026-jo-weekend-2|10u-championship
tournament-team-2026-10u-boys-pt-p1,pt_P1-,2026,10U,Boys,10U Boys,,tournament_only_team,pt_P1-,2026-jo-weekend-2|10u-championship
tournament-team-2026-10u-boys-pt-p2,pt_P2-,2026,10U,Boys,10U Boys,,tournament_only_team,pt_P2-,2026-jo-weekend-2|10u-championship
tournament-team-2026-10u-boys-pt-p3,pt_P3-,2026,10U,Boys,10U Boys,,tournament_only_team,pt_P3-,2026-jo-weekend-2|10u-championship
tournament-team-2026-10u-boys-pt-r1,pt_R1-,2026,10U,Boys,10U Boys,,tournament_only_team,pt_R1-,2026-jo-weekend-2|10u-championship
tournament-team-2026-10u-coed-2nd-a,2nd A-,2026,10U,Coed,10U Coed,,tournament_only_team,2nd A-,2026-jo-weekend-1|10u-coed-championship
tournament-team-2026-10u-coed-2nd-b,2nd B-,2026,10U,Coed,10U Coed,,tournament_only_team,2nd B-,2026-jo-weekend-1|10u-coed-championship
tournament-team-2026-10u-coed-2nd-c,2nd C-,2026,10U,Coed,10U Coed,,tournament_only_team,2nd C-,2026-jo-weekend-1|10u-coed-championship
tournament-team-2026-10u-coed-2nd-d,2nd D-,2026,10U,Coed,10U Coed,,tournament_only_team,2nd D-,2026-jo-weekend-1|10u-coed-championship
tournament-team-2026-10u-coed-2nd-e,2nd E-,2026,10U,Coed,10U Coed,,tournament_only_team,2nd E-,2026-jo-weekend-1|10u-coed-championship
tournament-team-2026-10u-coed-2nd-f,2nd F-,2026,10U,Coed,10U Coed,,tournament_only_team,2nd F-,2026-jo-weekend-1|10u-coed-championship
tournament-team-2026-10u-coed-2nd-g,2nd G-,2026,10U,Coed,10U Coed,,tournament_only_team,2nd G-,2026-jo-weekend-1|10u-coed-championship
tournament-team-2026-10u-coed-2nd-h,2nd H-,2026,10U,Coed,10U Coed,,tournament_only_team,2nd H-,2026-jo-weekend-1|10u-coed-championship
tournament-team-2026-10u-coed-2nd-i,2nd I-,2026,10U,Coed,10U Coed,,tournament_only_team,2nd I-,2026-jo-weekend-1|10u-coed-championship
tournament-team-2026-10u-coed-2nd-j,2nd J-,2026,10U,Coed,10U Coed,,tournament_only_team,2nd J-,2026-jo-weekend-1|10u-coed-championship
tournament-team-2026-10u-coed-2nd-k,2nd K-,2026,10U,Coed,10U Coed,,tournament_only_team,2nd K-,2026-jo-weekend-1|10u-coed-championship
tournament-team-2026-10u-coed-2nd-l,2nd L-,2026,10U,Coed,10U Coed,,tournament_only_team,2nd L-,2026-jo-weekend-1|10u-coed-championship
tournament-team-2026-10u-coed-3rd-a,3rd A-,2026,10U,Coed,10U Coed,,tournament_only_team,3rd A-,2026-jo-weekend-1|10u-coed-championship
tournament-team-2026-10u-coed-3rd-b,3rd B-,2026,10U,Coed,10U Coed,,tournament_only_team,3rd B-,2026-jo-weekend-1|10u-coed-championship
tournament-team-2026-10u-coed-3rd-c,3rd C-,2026,10U,Coed,10U Coed,,tournament_only_team,3rd C-,2026-jo-weekend-1|10u-coed-championship
tournament-team-2026-10u-coed-3rd-d,3rd D-,2026,10U,Coed,10U Coed,,tournament_only_team,3rd D-,2026-jo-weekend-1|10u-coed-championship
tournament-team-2026-10u-coed-3rd-e,3rd E-,2026,10U,Coed,10U Coed,,tournament_only_team,3rd E-,2026-jo-weekend-1|10u-coed-championship
tournament-team-2026-10u-coed-3rd-f,3rd F-,2026,10U,Coed,10U Coed,,tournament_only_team,3rd F-,2026-jo-weekend-1|10u-coed-championship
tournament-team-2026-10u-coed-3rd-g,3rd G-,2026,10U,Coed,10U Coed,,tournament_only_team,3rd G-,2026-jo-weekend-1|10u-coed-championship
tournament-team-2026-10u-coed-3rd-h,3rd H-,2026,10U,Coed,10U Coed,,tournament_only_team,3rd H-,2026-jo-weekend-1|10u-coed-championship
tournament-team-2026-10u-coed-3rd-i,3rd I-,2026,10U,Coed,10U Coed,,tournament_only_team,3rd I-,2026-jo-weekend-1|10u-coed-championship
