participantId,name,season,ageGroup,gender,group,canonicalClubId,identityStatus,aliases,sources
tournament-team-2026-10u-boys-680-blue,680 BLUE,2026,10U,Boys,10U Boys,,tournament_only_team,680 BLUE | D2(21)-680 BLUE,2026-jo-weekend-2|10u-championship
tournament-team-2026-10u-boys-680-red,680 RED,2026,10U,Boys,10U Boys,,tournament_only_team,680 RED | K1(11)-680 RED,2026-jo-weekend-2|10u-championship
tournament-team-2026-10u-boys-680-white,680 WHITE,2026,10U,Boys,10U Boys,,tournament_only_team,680 WHITE | H3(32)-680 WHITE,2026-jo-weekend-2|10u-championship
tournament-team-2026-10u-boys-908-yellow,908 YELLOW,2026,10U,Boys,10U Boys,,tournament_only_team,908 YELLOW | H1(8)-908 YELLOW,2026-jo-weekend-2|10u-championship
tournament-team-2026-10u-boys-cal-republic,CAL REPUBLIC,2026,10U,Boys,10U Boys,,tournament_only_team,CAL REPUBLIC | J2(15)-CAL REPUBLIC,2026-jo-weekend-2|10u-championship
tournament-team-2026-10u-boys-cc-united-black,CC UNITED BLACK,2026,10U,Boys,10U Boys,,tournament_only_team,CC UNITED BLACK | I2(16)-CC UNITED BLACK,2026-jo-weekend-2|10u-championship
tournament-team-2026-10u-boys-cc-united-blue,CC UNITED BLUE,2026,10U,Boys,10U Boys,,tournament_only_team,B2(23)-CC UNITED BLUE | CC UNITED BLUE,2026-jo-weekend-2|10u-championship
tournament-team-2026-10u-boys-cdm-blue,CDM BLUE,2026,10U,Boys,10U Boys,,tournament_only_team,CDM BLUE | F1(6)-CDM BLUE,2026-jo-weekend-2|10u-championship
tournament-team-2026-10u-boys-cdm-white,CDM WHITE,2026,10U,Boys,10U Boys,,tournament_only_team,CDM WHITE | F3(30)-CDM WHITE,2026-jo-weekend-2|10u-championship
tournament-team-2026-10u-boys-commerce,COMMERCE,2026,10U,Boys,10U Boys,club-commerce,canonical_club_tournament_team,COMMERCE | D1(4)-COMMERCE,2026-jo-weekend-2|10u-championship
tournament-team-2026-10u-boys-elite,ELITE,2026,10U,Boys,10U Boys,club-elite,canonical_club_tournament_team,ELITE | L1(12)-ELITE,2026-jo-weekend-2|10u-championship
tournament-team-2026-10u-boys-greenwich-blue,GREENWICH BLUE,2026,10U,Boys,10U Boys,,tournament_only_team,E1(5)-GREENWICH BLUE | GREENWICH BLUE,2026-jo-weekend-2|10u-championship
tournament-team-2026-10u-boys-greenwich-white,GREENWICH WHITE,2026,10U,Boys,10U Boys,,tournament_only_team,B3(26)-GREENWICH WHITE | GREENWICH WHITE,2026-jo-weekend-2|10u-championship
tournament-team-2026-10u-boys-la-jolla-united,LA JOLLA UNITED,2026,10U,Boys,10U Boys,club-la-jolla-united,canonical_club_tournament_team,I1(9)-LA JOLLA UNITED | LA JOLLA UNITED,2026-jo-weekend-2|10u-championship
tournament-team-2026-10u-boys-lamorinda-blue,LAMORINDA BLUE,2026,10U,Boys,10U Boys,,tournament_only_team,E2(20)-LAMORINDA BLUE | LAMORINDA BLUE,2026-jo-weekend-2|10u-championship
tournament-team-2026-10u-boys-lamorinda-gold,LAMORINDA GOLD,2026,10U,Boys,10U Boys,,tournament_only_team,I3(33)-LAMORINDA GOLD | LAMORINDA GOLD,2026-jo-weekend-2|10u-championship
tournament-team-2026-10u-boys-lamorinda-white,LAMORINDA WHITE,2026,10U,Boys,10U Boys,,tournament_only_team,J3(34)-LAMORINDA WHITE | LAMORINDA WHITE,2026-jo-weekend-2|10u-championship
tournament-team-2026-10u-boys-lb-shore,LB SHORE,2026,10U,Boys,10U Boys,club-long-beach-shore,canonical_club_tournament_team,F2(19)-LB SHORE | LB SHORE,2026-jo-weekend-2|10u-championship
tournament-team-2026-10u-boys-newport-beach-blue,NEWPORT BEACH BLUE,2026,10U,Boys,10U Boys,,tournament_only_team,B1(2)-NEWPORT BEACH BLUE | NEWPORT BEACH BLUE,2026-jo-weekend-2|10u-championship
tournament-team-2026-10u-boys-newport-beach-white,NEWPORT BEACH WHITE,2026,10U,Boys,10U Boys,,tournament_only_team,C1(3)-NEWPORT BEACH WHITE | NEWPORT BEACH WHITE,2026-jo-weekend-2|10u-championship
tournament-team-2026-10u-boys-norcal-black,NORCAL BLACK,2026,10U,Boys,10U Boys,,tournament_only_team,A2(24)-NORCAL BLACK | NORCAL BLACK,2026-jo-weekend-2|10u-championship
tournament-team-2026-10u-boys-northwest,NORTHWEST,2026,10U,Boys,10U Boys,club-northwest,canonical_club_tournament_team,L3(35)-NORTHWEST | NORTHWEST,2026-jo-weekend-2|10u-championship
tournament-team-2026-10u-boys-orwp,ORWP,2026,10U,Boys,10U Boys,club-orwp,canonical_club_tournament_team,G2(18)-ORWP | ORWP,2026-jo-weekend-2|10u-championship
tournament-team-2026-10u-boys-san-clemente-black,SAN CLEMENTE BLACK,2026,10U,Boys,10U Boys,,tournament_only_team,A3(25)-SAN CLEMENTE BLACK | SAN CLEMENTE BLACK,2026-jo-weekend-2|10u-championship
tournament-team-2026-10u-boys-san-clemente-red,SAN CLEMENTE RED,2026,10U,Boys,10U Boys,,tournament_only_team,G1(7)-SAN CLEMENTE RED | SAN CLEMENTE RED,2026-jo-weekend-2|10u-championship
tournament-team-2026-10u-boys-sd-dons,SD DONS,2026,10U,Boys,10U Boys,club-sd-dons,canonical_club_tournament_team,A1(1)-SD DONS | SD DONS,2026-jo-weekend-2|10u-championship
tournament-team-2026-10u-boys-sd-dons-b,SD DONS B,2026,10U,Boys,10U Boys,,tournament_only_team,C2(22)-SD DONS B | SD DONS B,2026-jo-weekend-2|10u-championship
tournament-team-2026-10u-boys-shaq,SHAQ,2026,10U,Boys,10U Boys,club-shaq,canonical_club_tournament_team,E3(29)-SHAQ | SHAQ,2026-jo-weekend-2|10u-championship
tournament-team-2026-10u-boys-socal-black,SOCAL BLACK,2026,10U,Boys,10U Boys,,tournament_only_team,J1(10)-SOCAL BLACK | SOCAL BLACK,2026-jo-weekend-2|10u-championship
tournament-team-2026-10u-boys-socal-gold,SOCAL GOLD,2026,10U,Boys,10U Boys,,tournament_only_team,D3(28)-SOCAL GOLD | SOCAL GOLD,2026-jo-weekend-2|10u-championship
tournament-team-2026-10u-boys-stanford-black,STANFORD BLACK,2026,10U,Boys,10U Boys,,tournament_only_team,G3(31)-STANFORD BLACK | STANFORD BLACK,2026-jo-weekend-2|10u-championship
tournament-team-2026-10u-boys-stanford-red,STANFORD RED,2026,10U,Boys,10U Boys,,tournament_only_team,H2(17)-STANFORD RED | STANFORD RED,2026-jo-weekend-2|10u-championship
tournament-team-2026-10u-boys-temple-city-black,TEMPLE CITY BLACK,2026,10U,Boys,10U Boys,,tournament_only_team,K2(14)-TEMPLE CITY BLACK | TEMPLE CITY BLACK,2026-jo-weekend-2|10u-championship
tournament-team-2026-10u-boys-temple-city-yellow,TEMPLE CITY YELLOW,2026,10U,Boys,10U Boys,,tournament_only_team,L2(13)-TEMPLE CITY YELLOW | TEMPLE CITY YELLOW,2026-jo-weekend-2|10u-championship
tournament-team-2026-10u-boys-yolo,YOLO,2026,10U,Boys,10U Boys,club-yolo,canonical_club_tournament_team,C3(27)-YOLO | YOLO,2026-jo-weekend-2|10u-championship
tournament-team-2026-10u-coed-a-town,A TOWN,2026,10U,Coed,10U Coed,,tournament_only_team,A TOWN | H(32)-A TOWN,2026-jo-weekend-1|10u-coed-championship
tournament-team-2026-10u-coed-alameda,ALAMEDA,2026,10U,Coed,10U Coed,club-alameda,canonical_club_tournament_team,ALAMEDA | E(29)-ALAMEDA,2026-jo-weekend-1|10u-coed-championship
tournament-team-2026-10u-coed-american-river,AMERICAN RIVER,2026,10U,Coed,10U Coed,club-american-river,canonical_club_tournament_team,AMERICAN RIVER | L(12)-AMERICAN RIVER,2026-jo-weekend-1|10u-coed-championship
tournament-team-2026-10u-coed-aquatex,AQUATEX,2026,10U,Coed,10U Coed,club-aquatex,canonical_club_tournament_team,AQUATEX | J(34)-AQUATEX,2026-jo-weekend-1|10u-coed-championship
tournament-team-2026-10u-coed-asa,ASA,2026,10U,Coed,10U Coed,club-asa,canonical_club_tournament_team,ASA | B(23)-ASA,2026-jo-weekend-1|10u-coed-championship
tournament-team-2026-10u-coed-carmel,CARMEL,2026,10U,Coed,10U Coed,,tournament_only_team,CARMEL | L(36)-CARMEL,2026-jo-weekend-1|10u-coed-championship
tournament-team-2026-10u-coed-channel-islands-united,CHANNEL ISLANDS UNITED,2026,10U,Coed,10U Coed,club-ciu,canonical_club_tournament_team,CHANNEL ISLANDS UNITED | E(5)-CHANNEL ISLANDS UNITED,2026-jo-weekend-1|10u-coed-championship
tournament-team-2026-10u-coed-chawp,CHAWP,2026,10U,Coed,10U Coed,club-chawp,canonical_club_tournament_team,CHAWP | D(21)-CHAWP,2026-jo-weekend-1|10u-coed-championship
tournament-team-2026-10u-coed-chicago-park,CHICAGO PARK,2026,10U,Coed,10U Coed,club-chicago-park,canonical_club_tournament_team,CHICAGO PARK | K(35)-CHICAGO PARK,2026-jo-weekend-1|10u-coed-championship
tournament-team-2026-10u-coed-chula-vista-premier,CHULA VISTA PREMIER,2026,10U,Coed,10U Coed,,tournament_only_team,A(1)-CHULA VISTA PREMIER | CHULA VISTA PREMIER,2026-jo-weekend-1|10u-coed-championship
tournament-team-2026-10u-coed-cmac,CMAC,2026,10U,Coed,10U Coed,club-cmac,canonical_club_tournament_team,CMAC | D(28)-CMAC,2026-jo-weekend-1|10u-coed-championship
tournament-team-2026-10u-coed-coronado,CORONADO,2026,10U,Coed,10U Coed,,tournament_only_team,C(27)-CORONADO | CORONADO,2026-jo-weekend-1|10u-coed-championship
tournament-team-2026-10u-coed-diablo-alliance-a,DIABLO ALLIANCE A,2026,10U,Coed,10U Coed,,tournament_only_team,B(26)-DIABLO ALLIANCE A | DIABLO ALLIANCE A,2026-jo-weekend-1|10u-coed-championship
tournament-team-2026-10u-coed-eca,ECA,2026,10U,Coed,10U Coed,club-sd-eca,canonical_club_tournament_team,ECA | H(8)-ECA,2026-jo-weekend-1|10u-coed-championship
tournament-team-2026-10u-coed-foothill-red,FOOTHILL RED,2026,10U,Coed,10U Coed,,tournament_only_team,FOOTHILL RED | G(7)-FOOTHILL RED,2026-jo-weekend-1|10u-coed-championship
tournament-team-2026-10u-coed-la-city-united,LA CITY UNITED,2026,10U,Coed,10U Coed,,tournament_only_team,F(19)-LA CITY UNITED | LA CITY UNITED,2026-jo-weekend-1|10u-coed-championship
tournament-team-2026-10u-coed-la-premier-black,LA PREMIER BLACK,2026,10U,Coed,10U Coed,,tournament_only_team,A(25)-LA PREMIER BLACK | LA PREMIER BLACK,2026-jo-weekend-1|10u-coed-championship
tournament-team-2026-10u-coed-laguna-black,LAGUNA BLACK,2026,10U,Coed,10U Coed,,tournament_only_team,J(15)-LAGUNA BLACK | LAGUNA BLACK,2026-jo-weekend-1|10u-coed-championship
tournament-team-2026-10u-coed-los-alamitos,LOS ALAMITOS,2026,10U,Coed,10U Coed,club-los-alamitos,canonical_club_tournament_team,K(11)-LOS ALAMITOS | LOS ALAMITOS,2026-jo-weekend-1|10u-coed-championship
tournament-team-2026-10u-coed-lowpo,LOWPO,2026,10U,Coed,10U Coed,club-lowpo,canonical_club_tournament_team,G(31)-LOWPO | LOWPO,2026-jo-weekend-1|10u-coed-championship
tournament-team-2026-10u-coed-lyons-aquatics,LYONS AQUATICS,2026,10U,Coed,10U Coed,club-lyons-aquatics,canonical_club_tournament_team,L(13)-LYONS AQUATICS | LYONS AQUATICS,2026-jo-weekend-1|10u-coed-championship
tournament-team-2026-10u-coed-north-irvine,NORTH IRVINE,2026,10U,Coed,10U Coed,club-north-irvine,canonical_club_tournament_team,J(10)-NORTH IRVINE | NORTH IRVINE,2026-jo-weekend-1|10u-coed-championship
tournament-team-2026-10u-coed-ocwpc-blue,OCWPC BLUE,2026,10U,Coed,10U Coed,,tournament_only_team,I(9)-OCWPC BLUE | OCWPC BLUE,2026-jo-weekend-1|10u-coed-championship
tournament-team-2026-10u-coed-patriot-navy,PATRIOT NAVY,2026,10U,Coed,10U Coed,,tournament_only_team,B(2)-PATRIOT NAVY | PATRIOT NAVY,2026-jo-weekend-1|10u-coed-championship
tournament-team-2026-10u-coed-praetorian,PRAETORIAN,2026,10U,Coed,10U Coed,club-praetorian,canonical_club_tournament_team,I(16)-PRAETORIAN | PRAETORIAN,2026-jo-weekend-1|10u-coed-championship
tournament-team-2026-10u-coed-rose-bowl-red,ROSE BOWL RED,2026,10U,Coed,10U Coed,,tournament_only_team,A(24)-ROSE BOWL RED | ROSE BOWL RED,2026-jo-weekend-1|10u-coed-championship
tournament-team-2026-10u-coed-san-jose-express,SAN JOSE EXPRESS,2026,10U,Coed,10U Coed,club-san-jose-express,canonical_club_tournament_team,K(14)-SAN JOSE EXPRESS | SAN JOSE EXPRESS,2026-jo-weekend-1|10u-coed-championship
tournament-team-2026-10u-coed-santa-barbara-wpc,SANTA BARBARA WPC,2026,10U,Coed,10U Coed,club-santa-barbara,canonical_club_tournament_team,F(6)-SANTA BARBARA WPC | SANTA BARBARA WPC,2026-jo-weekend-1|10u-coed-championship
tournament-team-2026-10u-coed-sd-shores-black,SD SHORES BLACK,2026,10U,Coed,10U Coed,,tournament_only_team,C(3)-SD SHORES BLACK | SD SHORES BLACK,2026-jo-weekend-1|10u-coed-championship
tournament-team-2026-10u-coed-shaq,SHAQ,2026,10U,Coed,10U Coed,club-shaq,canonical_club_tournament_team,F(30)-SHAQ | SHAQ,2026-jo-weekend-1|10u-coed-championship
tournament-team-2026-10u-coed-south-coast-red,SOUTH COAST RED,2026,10U,Coed,10U Coed,,tournament_only_team,C(22)-SOUTH COAST RED | SOUTH COAST RED,2026-jo-weekend-1|10u-coed-championship
tournament-team-2026-10u-coed-tpc-sharks,TPC SHARKS,2026,10U,Coed,10U Coed,,tournament_only_team,E(20)-TPC SHARKS | TPC SHARKS,2026-jo-weekend-1|10u-coed-championship
tournament-team-2026-10u-coed-vanguard,VANGUARD,2026,10U,Coed,10U Coed,club-vanguard,canonical_club_tournament_team,H(17)-VANGUARD | VANGUARD,2026-jo-weekend-1|10u-coed-championship
tournament-team-2026-10u-coed-west-valley,WEST VALLEY,2026,10U,Coed,10U Coed,club-west-valley,canonical_club_tournament_team,I(33)-WEST VALLEY | WEST VALLEY,2026-jo-weekend-1|10u-coed-championship
tournament-team-2026-10u-coed-whittier,WHITTIER,2026,10U,Coed,10U Coed,club-whittier,canonical_club_tournament_team,G(18)-WHITTIER | WHITTIER,2026-jo-weekend-1|10u-coed-championship
