raw_name,normalized_name,normalized_slug,prefix_removed
11,11,11,False
15,15,15,False
19-ROUTE 66 AQUATICS,19-route 66 Aquatics,19-route-66-aquatics,False
1st in A - LA Premier,- LA Premier,la-premier,True
1st in B - PV Black (A),Palos Verdes black A,palos-verdes-black-a,True
1st in C - CIU Gold(A),Channel Islands United gold A,channel-islands-united-gold-a,True
1st in D - 908 Yellow (A),- 908 Yellow (a),908-yellow-a,True
1st in E  - Commerce,- Commerce,commerce,True
1st in F - SBWPC A,Santa Barbara  A,santa-barbara-a,True
1st in G - Gate 14U,Devils Gate,devils-gate,True
1st in H - South Coast Red (A),- South Coast Red (a),south-coast-red-a,True
1stA-BREA OLINDA GOLD,1sta-brea Olinda Gold,1sta-brea-olinda-gold,False
1stA-CIU,1sta-ciu,1sta-ciu,False
1stA-MISSION A,1sta-mission A,1sta-mission-a,False
1stA-NORTH IRVINE RED,1sta-north Irvine Red,1sta-north-irvine-red,False
1stB-LA JOLLA UNITED A,1stb-la Jolla United A,1stb-la-jolla-united-a,False
1stB-NEWPORT BEACH BLUE,1stb-newport Beach Blue,1stb-newport-beach-blue,False
1stB-ORANGE COUNTY WPC B,1stb-orange County WPC B,1stb-orange-county-wpc-b,False
1stC-NORCAL A,1stc-norcal A,1stc-norcal-a,False
1stC-VANGUARD BLUE,1stc-vanguard Blue,1stc-vanguard-blue,False
1stC-VANGUARD SILVER,1stc-vanguard Silver,1stc-vanguard-silver,False
1stD-ALAMEDA,1std-alameda,1std-alameda,False
1stD-MISSION A,1std-mission A,1std-mission-a,False
1stD-NEWPORT BEACH SILVER,1std-newport Beach Silver,1std-newport-beach-silver,False
1stE-908,1ste-908,1ste-908,False
1stF-COMMERCE,1stf-commerce,1stf-commerce,False
1stG-LAWPC,1stg-lawpc,1stg-lawpc,False
1stG-MISSION WPC A,1stg-mission WPC A,1stg-mission-wpc-a,False
1stG-NORTH IRVINE A,1stg-north Irvine A,1stg-north-irvine-a,False
1stG-PATRIOT NAVY (A),1stg-patriot Navy (a),1stg-patriot-navy-a,False
1stG-POWAY VALLEY BLACK,1stg-poway Valley Black,1stg-poway-valley-black,False
1stH-CCU A,1sth-ccu A,1sth-ccu-a,False
1stH-GOLD COAST,1sth-gold Coast,1sth-gold-coast,False
1stH-MISSION WPC (A),1sth-mission WPC (a),1sth-mission-wpc-a,False
1stH-SKIP,1sth-skip,1sth-skip,False
1stJ-CDM,1stj-cdm,1stj-cdm,False
1stJ-DIABLO ALLIANCE B,1stj-diablo Alliance B,1stj-diablo-alliance-b,False
1stJ-LA JOLLA UNITED NAVY,1stj-la Jolla United Navy,1stj-la-jolla-united-navy,False
1stK-680 B,1stk-680 B,1stk-680-b,False
1stK-TSUNAMI BLUE,1stk-tsunami Blue,1stk-tsunami-blue,False
1stL-NORCAL B,1stl-norcal B,1stl-norcal-b,False
1stM-BACK BAY,1stm-back Bay,1stm-back-bay,False
1stM-STANFORD C,1stm-stanford C,1stm-stanford-c,False
1stN-MISSION WPC (B),1stn-mission WPC (b),1stn-mission-wpc-b,False
1stP-CHAWP,1stp-chawp,1stp-chawp,False
1stQ-OCWPC RED (B),1stq-ocwpc Red (b),1stq-ocwpc-red-b,False
1stR-CC UNITED WHITE,1str-cc United White,1str-cc-united-white,False
1stR-PATRIOT RED (B),1str-patriot Red (b),1str-patriot-red-b,False
1stS-STANFORD WHITE,1sts-stanford White,1sts-stanford-white,False
2,2,2,False
20-DEVIL'S GATE,20-devil's Gate,20-devil-s-gate,False
24-PRIDE RED,24-pride Red,24-pride-red,False
25-AMERICAN RIVER BLUE,25-american River Blue,25-american-river-blue,False
26-SOUTH COAST WHITE (B),26-south Coast White (b),26-south-coast-white-b,False
2nd in A - Foothill Red (A),- Foothill Red (a),foothill-red-a,True
2nd in B - Rose Bowl Red (A),- Rose Bowl Red (a),rose-bowl-red-a,True
2nd in C - Trojan Cardinal (A),- Trojan Cardinal (a),trojan-cardinal-a,True
2nd in D - Route 66 14U Boys,Route 66 boys,route-66-boys,True
2nd in E - Temple City,- Temple City,temple-city,True
2nd in F - Shore Red,- Shore Red,shore-red,True
2nd in G - ORWP 14U Black (A),ORWP black A,orwp-black-a,True
2nd in H - Pride Black,- Pride Black,pride-black,True
2ndA-ORWP A,2nda-orwp A,2nda-orwp-a,False
2ndA-PATRIOT A,2nda-patriot A,2nda-patriot-a,False
2ndA-SAN DIEGO DONS 14 BLACK,2nda-san Diego Dons 14 Black,2nda-san-diego-dons-14-black,False
2ndB-NEWPORT BEACH A,2ndb-newport Beach A,2ndb-newport-beach-a,False
2ndB-PATRIOT RED,2ndb-patriot Red,2ndb-patriot-red,False
2ndB-SD ECA,2ndb-sd ECA,2ndb-sd-eca,False
2ndC-HIELAND,2ndc-hieland,2ndc-hieland,False
2ndC-SAN DIEGO DONS,2ndc-san Diego Dons,2ndc-san-diego-dons,False
2ndC-SD DONS,2ndc-sd Dons,2ndc-sd-dons,False
2ndD-LA PREMIER,2ndd-la Premier,2ndd-la-premier,False
2ndD-MISSION 12A,2ndd-mission 12a,2ndd-mission-12a,False
2ndG-PASADENA AC,2ndg-pasadena Ac,2ndg-pasadena-ac,False
2ndG-SOCAL BLACK (A),2ndg-socal Black (a),2ndg-socal-black-a,False
2ndG-VANGUARD BLUE,2ndg-vanguard Blue,2ndg-vanguard-blue,False
2ndG-VEGAS RENEGADES,2ndg-vegas Renegades,2ndg-vegas-renegades,False
2ndH-NBWP BLUE (A),2ndh-nbwp Blue (a),2ndh-nbwp-blue-a,False
2ndH-SAND CANYON,2ndh-sand Canyon,2ndh-sand-canyon,False
2ndH-SJ FOUNDATION,2ndh-sj Foundation,2ndh-sj-foundation,False
2ndJ-LOS ALAMITOS BLUE	,2ndj-los Alamitos Blue,2ndj-los-alamitos-blue,False
2ndJ-PATRIOT NAVY,2ndj-patriot Navy,2ndj-patriot-navy,False
2ndJ-TITANS,2ndj-titans,2ndj-titans,False
2ndK-NORTH IRVINE BLACK (A),2ndk-north Irvine Black (a),2ndk-north-irvine-black-a,False
2ndK-SOUTH COAST WHITE,2ndk-south Coast White,2ndk-south-coast-white,False
2ndL-SUPREME,2ndl-supreme,2ndl-supreme,False
2ndM-AMERICAN RIVER B,2ndm-american River B,2ndm-american-river-b,False
2ndM-SAN CLEMENTE RED (A),2ndm-san Clemente Red (a),2ndm-san-clemente-red-a,False
2ndN-SOCAL GOLD (B),2ndn-socal Gold (b),2ndn-socal-gold-b,False
2ndP-SET,2ndp-set,2ndp-set,False
2ndQ-SAN CLEMENTE BLACK (B),2ndq-san Clemente Black (b),2ndq-san-clemente-black-b,False
2ndR-BURLINGAME,2ndr-burlingame,2ndr-burlingame,False
2ndR-VANGUARD SILVER (B),2ndr-vanguard Silver (b),2ndr-vanguard-silver-b,False
2ndS-MIDPEN,2nds-midpen,2nds-midpen,False
3-CHANNEL ISLANDS UNITED GOLD,3-channel Islands United Gold,3-channel-islands-united-gold,False
3rd in A - PV Blue (B),Palos Verdes blue B,palos-verdes-blue-b,True
3rd in B - 908 Blue (B),- 908 Blue (b),908-blue-b,True
3rd in C - Titans Gold,- Titans Gold,titans-gold,True
3rd in D - South Coast White(B),- South Coast White(b),south-coast-white-b,True
3rd in E - CIU Coast,Channel Islands United coast,channel-islands-united-coast,True
3rd in F - Supreme,- Supreme,supreme,True
3rd in G - PAC,Pacific,pacific,True
3rd in H - Valley United,- Valley United,valley-united,True
3rdA-ROUTE 66,3rda-route 66,3rda-route-66,False
3rdA-SAND CANYON,3rda-sand Canyon,3rda-sand-canyon,False
3rdA-TRILOGY BLACK,3rda-trilogy Black,3rda-trilogy-black,False
3rdA-VANGUARD A,3rda-vanguard A,3rda-vanguard-a,False
3rdB-LAMORINDA,3rdb-lamorinda,3rdb-lamorinda,False
3rdB-SAN CLEMENTE BLACK,3rdb-san Clemente Black,3rdb-san-clemente-black,False
3rdB-TROJAN CARDINAL,3rdb-trojan Cardinal,3rdb-trojan-cardinal,False
3rdC-GOLD COAST,3rdc-gold Coast,3rdc-gold-coast,False
3rdC-OVAC,3rdc-ovac,3rdc-ovac,False
